"Study","Study.year","Analysis.name","Analysis.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Hong 2022",2022,"PPH ? 500mL",3,18,140,16,137,0,0,0,0,0,0,1.100893,0.585803,2.068896,0,100,"3::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Jonsson 2008",2008,"3rd degree tears",1,34,696,25,727,0,0,0,0,0,0,1.420575,0.856635,2.355768,0,100,"1::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Jonsson 2008",2008,"4th degree tears",2,4,696,7,727,0,0,0,0,0,0,0.59688,0.175502,2.029985,0,100,"2::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Aabakke 2016",2016,"3rd or 4th degree tears",1,13,281,15,262,0,0,0,0,0,0,0.808066,0.392006,1.665719,0,100,"1::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Harlev 2013",2013,"2nd degree tears",1,28,82,32,82,0,0,0,0,0,0,0.875,0.58395,1.311114,0,100,"1::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Harlev 2013",2013,"3rd degree tears",2,3,82,2,82,0,0,0,0,0,0.98772959664959,1.5,0.257342,8.743246,0.975609756097561,100,"2::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Araujo 2008",2008,"2nd degree tears",1,8,24,5,23,0,0,0,0,0,0,1.533333,0.587166,4.00417,0,100,"1::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Andre 2024",2024,"1st and 2nd degree tears",1,15,43,25,49,0,0,0,0,0,0.438612531035027,0.683721,0.418046,1.118236,0.192380952380952,20.178198,"1::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Lavesson 2014",2014,"1st and 2nd degree tears",1,340,546,366,552,0,0,0,0,0,0,0.93917,0.859785,1.025885,0,79.821802,"1::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Andre 2024",2024,"2nd degree tears",2,15,43,25,49,0,0,0,0,0,0,0.683721,0.418046,1.118236,0,100,"2::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Andre 2024",2024,"3rd or 4th degree tears",3,0,43,3,49,0,0,0,0,0,0,0.162338,0.008622,3.056541,0,18.633333,"3::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Lavesson 2014",2014,"3rd or 4th degree tears",3,19,546,19,552,0,0,0,0,0,0,1.010989,0.541254,1.88839,0,81.366667,"3::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Lavesson 2014",2014,"Side effects",4,0,546,0,552,0,0,0,0,0,0,NA,NA,NA,0,NA,"4::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE
