"dataset_name","analyses","any_mismatch","direction_mismatch","significance_mismatch","mismatch_rate","double_zero_rows","sparse_rows","any_zero_rows","all_events_rows","invalid_binary_rows","event_rate"
"CD012693_pub3_data",2,2,0,2,1,2,11,5,0,0,0.0893
"CD012712_pub2_data",4,4,1,3,1,37,54,43,0,0,0.0583
"CD012757_pub2_data",1,1,0,1,1,0,0,0,0,0,0.3841
"CD012850_pub2_data",4,4,2,2,1,7,9,9,0,0,0.228
"CD012891_pub2_data",1,1,0,1,1,0,4,2,0,0,0.074
"CD012905_pub2_data",5,5,1,4,1,11,29,22,0,0,0.158
"CD012925_pub2_data",1,1,1,0,1,4,5,6,0,0,0.2348
"CD012942_pub2_data",1,1,0,1,1,1,1,1,0,0,0.2009
"CD012993_pub2_data",2,2,2,0,1,2,4,3,0,0,0.1561
"CD013023_pub2_data",2,2,1,1,1,4,21,18,0,0,0.0704
"CD013042_pub2_data",1,1,1,0,1,16,22,22,0,0,0.1084
"CD013051_pub3_data",1,1,0,1,1,0,0,0,0,0,0.8628
"CD013052_pub3_data",1,1,1,0,1,1,1,1,0,0,0.5541
"CD013055_pub3_data",1,1,1,0,1,0,1,1,0,0,0.2967
"CD013059_pub2_data",1,1,0,1,1,32,35,35,0,0,0.0154
"CD013071_pub2_data",4,4,4,0,1,30,42,39,0,0,0.0054
"CD013105_pub2_data",1,1,0,1,1,2,5,4,0,0,0.2357
"CD013111_pub2_data",1,1,0,1,1,0,1,1,0,0,0.3285
"CD013197_pub2_data",1,1,1,0,1,2,11,6,0,0,0.0448
"CD013232_pub2_data",4,4,1,3,1,92,209,164,0,0,0.0866
"CD013255_pub2_data",2,2,2,0,1,15,22,21,0,0,0.0029
"CD013278_pub3_data",4,4,2,2,1,1,1,2,0,0,0.1003
"CD013303_pub2_data",1,1,0,1,1,6,6,6,0,0,0.2429
"CD013332_pub2_data",1,1,0,1,1,0,6,1,0,0,0.0258
"CD013342_pub2_data",1,1,1,0,1,5,7,7,0,0,0.0302
"CD013344_pub2_data",1,1,1,0,1,1,3,3,0,0,0.0861
"CD013355_pub2_data",1,1,0,1,1,0,0,0,0,0,0.055
"CD013366_pub2_data",4,4,1,3,1,3,29,17,0,0,0.1035
"CD013377_pub2_data",2,2,1,1,1,12,13,12,0,0,0.1647
"CD013396_pub2_data",2,2,1,1,1,0,3,2,0,0,0.4349
"CD013408_pub2_data",3,3,1,2,1,0,1,1,0,0,0.0543
"CD013414_pub2_data",2,2,1,1,1,1,4,2,0,0,0.1063
"CD013425_pub2_data",1,1,0,1,1,0,1,2,0,0,0.2563
"CD013445_pub2_data",3,3,2,1,1,40,52,50,0,0,0.0364
"CD013456_pub2_data",1,1,0,1,1,8,11,10,0,0,0.0078
"CD013462_pub3_data",1,1,1,0,1,0,7,4,0,0,0.0565
"CD013476_pub2_data",2,2,0,2,1,1,4,4,0,0,0.1658
"CD013539_pub2_data",4,4,2,2,1,16,57,35,1,0,0.2848
"CD013541_pub2_data",2,2,0,2,1,58,66,63,0,0,0.0808
"CD013561_pub2_data",1,1,0,1,1,0,0,0,0,0,0.2871
"CD013590_pub2_data",1,1,0,1,1,11,14,13,0,0,0.0313
"CD013595_pub2_data",1,1,0,1,1,0,0,0,0,0,0.1539
"CD013614_pub2_data",5,5,2,3,1,5,12,7,0,0,0.2748
"CD013631_pub2_data",1,1,0,1,1,5,7,7,0,0,0.075
"CD013643_pub2_data",1,1,1,0,1,1,2,3,0,0,0.084
"CD013672_pub2_data",1,1,0,1,1,0,0,0,0,0,0.57
"CD013707_pub2_data",1,1,1,0,1,0,2,1,0,0,0.0377
"CD013715_pub2_data",4,4,0,4,1,8,12,12,0,0,0.1351
"CD013745_pub2_data",1,1,0,1,1,0,0,0,0,0,0.0252
"CD013748_pub2_data",2,2,0,2,1,2,9,3,0,0,0.1843
"CD013758_pub2_data",1,1,0,1,1,8,8,8,0,0,0.0164
"CD013764_pub2_data",2,2,1,1,1,1,3,2,0,0,0.392
"CD013781_pub2_data",6,6,0,6,1,69,88,83,0,0,0.1153
"CD013800_pub2_data",5,5,2,3,1,0,4,4,0,0,0.3156
"CD013801_pub2_data",1,1,0,1,1,0,2,2,0,0,0.0394
"CD013816_pub2_data",4,4,4,0,1,8,15,14,0,0,0.01
"CD013823_pub2_data",1,1,1,0,1,0,0,0,0,0,0.1176
"CD013827_pub2_data",1,1,1,0,1,1,1,1,0,0,0.0915
"CD013830_pub2_data",4,4,1,3,1,0,2,2,0,0,0.2386
"CD013844_pub2_data",3,3,1,3,1,17,19,18,0,0,0.0178
"CD013853_pub2_data",1,1,0,1,1,2,4,4,0,0,0.0649
"CD013874_pub3_data",1,1,1,0,1,14,17,15,2,2,0.0082
"CD013875_pub2_data",2,2,0,2,1,0,0,2,0,0,0.2087
"CD014089_data",1,1,0,1,1,0,0,0,0,0,0.2357
"CD014145_pub2_data",1,1,0,1,1,0,2,2,0,0,0.0588
"CD014300_pub2_data",1,1,1,0,1,1,2,2,0,0,0.1067
"CD014541_pub2_data",3,3,0,3,1,1,1,1,0,0,0.0061
"CD014544_pub2_data",1,1,0,1,1,4,10,8,0,0,0.2626
"CD014585_pub2_data",2,2,1,1,1,1,2,2,0,0,0.1622
"CD014594_pub2_data",3,3,2,1,1,41,62,55,0,0,0.1393
"CD014624_pub2_data",2,2,0,2,1,0,10,6,0,0,0.1076
"CD014666_pub2_data",1,1,1,0,1,25,25,25,0,0,0.0796
"CD014678_pub2_data",2,2,0,2,1,3,28,21,0,0,0.0081
"CD014736_pub2_data",1,1,1,0,1,4,7,6,0,0,0.0698
"CD014741_pub2_data",4,4,4,0,1,20,45,39,0,0,0.0282
"CD014762_pub2_data",1,1,0,1,1,2,2,2,0,0,0.2882
"CD014763_pub2_data",1,1,0,1,1,6,7,9,0,0,0.0255
"CD014769_pub2_data",12,12,0,12,1,0,42,27,0,0,0.024
"CD014792_pub2_data",3,3,2,1,1,3,12,9,0,0,0.0743
"CD014802_pub2_data",1,1,0,1,1,0,0,1,0,0,0.0466
"CD014820_pub2_data",5,5,2,3,1,95,202,153,0,0,0.1228
"CD014833_pub2_data",1,1,0,1,1,0,0,0,0,0,0.4821
"CD014844_pub2_data",5,5,1,4,1,1,4,4,0,0,0.029
"CD014852_pub2_data",1,1,1,0,1,0,0,0,0,0,0.0179
"CD014855_pub2_data",2,2,0,2,1,4,8,8,0,0,0.1113
"CD014869_pub2_data",1,1,1,0,1,0,0,0,0,0,0.7148
"CD014891_pub2_data",1,1,1,0,1,0,0,0,0,0,0.3386
"CD014914_pub2_data",1,1,0,1,1,0,1,1,0,8,0.0776
"CD014920_pub2_data",1,1,0,1,1,0,0,1,0,0,0.0777
"CD014935_pub2_data",1,1,1,0,1,0,1,0,0,0,0.1138
"CD014937_pub2_data",6,6,1,6,1,55,91,85,0,0,0.0964
"CD014941_pub2_data",2,2,1,1,1,0,0,0,0,0,0.0698
"CD014959_pub2_data",4,4,1,3,1,0,2,5,0,0,0.0953
"CD014964_pub2_data",3,3,0,3,1,21,52,43,0,60,0.0634
"CD014965_pub2_data",7,7,1,6,1,1,15,13,0,0,0.0826
"CD014966_pub2_data",1,1,0,1,1,0,4,5,0,0,0.2041
"CD014967_pub2_data",3,3,2,1,1,9,17,18,0,0,0.2707
"CD015003_pub2_data",1,1,0,1,1,0,1,1,0,0,0.0712
"CD015014_pub2_data",11,11,0,11,1,0,16,7,0,0,0.283
"CD015033_pub2_data",3,3,1,2,1,10,10,13,0,0,0.2666
"CD015038_pub2_data",1,1,0,1,1,0,2,2,0,0,0.058
"CD015046_pub2_data",1,1,1,0,1,0,1,1,0,1,0.5306
"CD015084_pub2_data",1,1,0,1,1,0,2,1,0,0,0.2089
"CD015087_pub2_data",2,2,0,2,1,6,11,12,0,5,0.144
"CD015123_pub2_data",1,1,0,1,1,0,1,1,0,0,0.1772
"CD015134_pub2_data",1,1,1,0,1,1,3,3,0,0,0.0035
"CD015140_pub2_data",1,1,1,0,1,0,0,1,0,0,0.1037
