"dataset_name","dir_mismatch","sig_mismatch","any_mismatch","paired_analyses","mismatch_rate"
"CD014889_pub2_data",0,0,0,5,0
"CD014999_pub2_data",0,0,0,5,0
"CD015284_pub2_data",0,0,0,5,0
"CD015462_pub2_data",0,0,0,5,0
"CD001837_pub4_data",0,0,0,4,0
"CD002115_pub6_data",0,0,0,4,0
"CD004417_pub6_data",0,0,0,4,0
"CD004703_pub3_data",0,0,0,4,0
"CD005343_pub7_data",0,0,0,4,0
"CD007024_pub3_data",0,0,0,4,0
"CD009244_pub3_data",0,0,0,4,0
"CD009362_pub4_data",0,0,0,4,0
"CD012570_pub2_data",0,0,0,4,0
"CD012572_pub3_data",0,0,0,4,0
"CD013056_pub3_data",0,0,0,4,0
"CD013571_pub2_data",0,0,0,4,0
"CD013774_pub2_data",0,0,0,4,0
"CD013821_pub2_data",0,0,0,4,0
"CD014580_pub2_data",0,0,0,4,0
"CD014713_pub2_data",0,0,0,4,0
"CD014923_pub2_data",0,0,0,4,0
"CD015701_pub2_data",0,0,0,4,0
"CD015786_pub2_data",0,0,0,4,0
"CD001703_pub4_data",0,0,0,3,0
"CD005582_pub5_data",0,0,0,3,0
"CD006714_pub3_data",0,0,0,3,0
"CD007110_pub4_data",0,0,0,3,0
"CD009252_pub2_data",0,0,0,3,0
"CD009788_pub3_data",0,0,0,3,0
"CD011120_pub3_data",0,0,0,3,0
"CD013053_pub3_data",0,0,0,3,0
"CD013284_pub2_data",0,0,0,3,0
"CD013358_pub2_data",0,0,0,3,0
"CD013726_pub2_data",0,0,0,3,0
"CD013731_pub2_data",0,0,0,3,0
"CD013822_pub2_data",0,0,0,3,0
"CD014617_pub3_data",0,0,0,3,0
"CD014687_pub2_data",0,0,0,3,0
"CD014722_pub2_data",0,0,0,3,0
"CD014811_pub2_data",0,0,0,3,0
"CD014861_pub2_data",0,0,0,3,0
"CD015060_pub2_data",0,0,0,3,0
"CD002303_pub4_data",0,0,0,2,0
"CD004871_pub5_data",0,0,0,2,0
"CD006982_pub5_data",0,0,0,2,0
"CD007156_pub3_data",0,0,0,2,0
"CD008165_pub5_data",0,0,0,2,0
"CD008879_pub3_data",0,0,0,2,0
"CD009609_pub3_data",0,0,0,2,0
"CD010163_pub3_data",0,0,0,2,0
"CD011218_pub2_data",0,0,0,2,0
"CD011330_pub2_data",0,0,0,2,0
"CD011851_pub3_data",0,0,0,2,0
"CD013038_pub3_data",0,0,0,2,0
"CD013166_pub3_data",0,0,0,2,0
"CD013331_pub2_data",0,0,0,2,0
"CD013508_pub3_data",0,0,0,2,0
"CD014623_pub2_data",0,0,0,2,0
"CD014803_pub2_data",0,0,0,2,0
"CD014944_pub2_data",0,0,0,2,0
"CD014960_pub2_data",0,0,0,2,0
"CD015042_pub2_data",0,0,0,2,0
"CD015145_pub2_data",0,0,0,2,0
"CD015495_data",0,0,0,2,0
"CD015751_pub2_data",0,0,0,2,0
"CD015788_pub2_data",0,0,0,2,0
"CD015802_pub2_data",0,0,0,2,0
"CD003833_pub5_data",0,0,0,1,0
"CD004904_pub4_data",0,0,0,1,0
"CD007569_pub4_data",0,0,0,1,0
"CD007859_pub5_data",0,0,0,1,0
"CD007896_pub4_data",0,0,0,1,0
"CD008995_pub3_data",0,0,0,1,0
"CD012594_pub2_data",0,0,0,1,0
"CD012623_pub2_data",0,0,0,1,0
"CD012967_pub2_data",0,0,0,1,0
"CD012997_pub3_data",0,0,0,1,0
"CD013057_pub3_data",0,0,0,1,0
