"dataset_name","paired_analyses","mismatch_rate","issue1","issue1_count","issue1_rate","issue2","issue2_count","issue2_rate","issue3","issue3_count","issue3_rate","issue4","issue4_count","issue4_rate","issue5","issue5_count","issue5_rate"
"CD012623_pub2_data",NA,NA,"ci_mismatch",31,1,"exp_sd_le0",25,0.806,"ctrl_sd_le0",25,0.806,"duplicate_study",20,0.645,"double_zero",6,0.194
"CD012718_pub2_data",NA,NA,"ci_mismatch",59,0.908,"double_zero",38,0.585,"sparse_events",38,0.585,"exp_sd_le0",38,0.585,"ctrl_sd_le0",38,0.585
"CD012886_pub3_data",NA,NA,"duplicate_study",4,0.08,"",0,NA,"",0,NA,"",0,NA,"",0,NA
"CD012967_pub2_data",NA,NA,"ci_mismatch",8,1,"sparse_events",7,0.875,"double_zero",5,0.625,"exp_sd_le0",3,0.375,"ctrl_sd_le0",3,0.375
"CD012997_pub3_data",NA,NA,"exp_sd_le0",12,1,"ctrl_sd_le0",12,1,"ci_mismatch",11,0.917,"sparse_events",7,0.583,"double_zero",1,0.083
"CD013038_pub3_data",NA,NA,"sparse_events",36,0.923,"double_zero",35,0.897,"ci_mismatch",30,0.769,"exp_sd_le0",4,0.103,"ctrl_sd_le0",4,0.103
"CD013053_pub3_data",NA,NA,"exp_sd_le0",11,1,"ctrl_sd_le0",11,1,"ci_mismatch",11,1,"",0,NA,"",0,NA
"CD013054_pub3_data",NA,NA,"exp_sd_le0",54,1,"ctrl_sd_le0",54,1,"ci_mismatch",54,1,"duplicate_study",6,0.111,"sparse_events",5,0.093
"CD013056_pub3_data",NA,NA,"exp_sd_le0",20,0.952,"ctrl_sd_le0",20,0.952,"ci_mismatch",20,0.952,"sparse_events",5,0.238,"duplicate_study",2,0.095
"CD013057_pub3_data",NA,NA,"exp_sd_le0",3,1,"ctrl_sd_le0",3,1,"ci_mismatch",3,1,"sparse_events",1,0.333,"",0,NA
"CD013078_pub2_data",NA,NA,"double_zero",23,0.958,"sparse_events",23,0.958,"ci_mismatch",22,0.917,"duplicate_study",6,0.25,"exp_sd_le0",1,0.042
"CD013158_pub2_data",NA,NA,"exp_sd_le0",13,1,"ctrl_sd_le0",13,1,"ci_mismatch",12,0.923,"sparse_events",2,0.154,"double_zero",1,0.077
"CD013166_pub3_data",NA,NA,"sparse_events",113,0.911,"ci_mismatch",108,0.871,"double_zero",101,0.815,"exp_sd_le0",83,0.669,"ctrl_sd_le0",83,0.669
"CD013284_pub2_data",NA,NA,"exp_sd_le0",111,1,"ctrl_sd_le0",111,1,"sparse_events",99,0.892,"double_zero",96,0.865,"ci_mismatch",84,0.757
"CD013294_pub2_data",NA,NA,"ci_mismatch",77,1,"sparse_events",75,0.974,"double_zero",74,0.961,"duplicate_study",9,0.117,"exp_sd_le0",3,0.039
"CD013295_pub2_data",NA,NA,"sparse_events",773,0.844,"exp_sd_le0",752,0.821,"ctrl_sd_le0",752,0.821,"double_zero",620,0.677,"ci_mismatch",460,0.502
"CD013329_pub2_data",NA,NA,"double_zero",11,1,"sparse_events",11,1,"ci_mismatch",11,1,"",0,NA,"",0,NA
"CD013331_pub2_data",NA,NA,"ci_mismatch",37,0.925,"sparse_events",33,0.825,"double_zero",32,0.8,"exp_sd_le0",11,0.275,"ctrl_sd_le0",11,0.275
"CD013353_pub2_data",NA,NA,"double_zero",29,1,"sparse_events",29,1,"ci_mismatch",29,1,"duplicate_study",16,0.552,"",0,NA
"CD013358_pub2_data",NA,NA,"ci_mismatch",335,1,"sparse_events",325,0.97,"double_zero",324,0.967,"duplicate_study",64,0.191,"exp_sd_le0",11,0.033
"CD013421_pub2_data",NA,NA,"ci_mismatch",82,0.804,"exp_sd_le0",78,0.765,"ctrl_sd_le0",78,0.765,"sparse_events",54,0.529,"double_zero",44,0.431
"CD013429_pub2_data",NA,NA,"ci_mismatch",103,0.963,"sparse_events",86,0.804,"double_zero",83,0.776,"duplicate_study",69,0.645,"exp_sd_le0",24,0.224
"CD013468_pub2_data",NA,NA,"ci_mismatch",39,0.951,"sparse_events",36,0.878,"double_zero",35,0.854,"exp_sd_le0",8,0.195,"ctrl_sd_le0",8,0.195
