dataset,analysis_id,measure,k,estimate,se,pval,ci_lb,ci_ub,tau2,I2,significant,direction_fragile,direction_fragility_index,sig_fragile,sig_fragility_index,sig_fragility_type,clinical_fragile,clinical_fragility_index,max_effect_change,mean_effect_change,max_change_study_idx,ci_width,ci_width_change,composite_fragility,fragility_quotient,fragility_class,log_k,abs_estimate,z_score,precision,near_null,borderline_sig,fragility_risk_score,risk_category,relative_position,effect_quartile,pub_version
CD012712_pub2_data,4,OR,62,-0.214509794217291,0.0465832980328781,4.12733708732825e-06,-0.305811380642828,-0.123208207791754,0,0,TRUE,FALSE,0,FALSE,0,loss,TRUE,2,0.0128755977067002,0.00322912372742146,32,0.182603172851073,0.00158217320196775,1,0,Low Fragility,4.12713438504509,0.214509794217291,4.60486490385227,460.828716767443,FALSE,FALSE,0.0445401758566811,Low Risk,0.516129032258065,Q3,2
CD012712_pub2_data,5,OR,49,-0.158801437881725,0.0580726100738886,0.00624689338158338,-0.272621662114785,-0.0449812136486657,0,0,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.00632459045454306,0.00128723846349232,38,0.227640448466119,0.00264379280956711,0,0,Robust,3.89182029811063,0.158801437881725,2.73453247029321,296.522264642477,FALSE,FALSE,0.0509647440315985,Low Risk,0.775510204081633,Q2,2
CD012712_pub2_data,6,OR,40,-0.218411160476181,0.0915047505323211,0.0169918843273987,-0.397757175933853,-0.0390651450185093,0,0,TRUE,FALSE,0,TRUE,3,loss,TRUE,6,0.0225155430195716,0.00379456679569936,29,0.358692030915343,0.00514465674061479,2,0.075,Moderate Fragility,3.68887945411394,0.218411160476181,2.38688329519061,119.429803375909,FALSE,TRUE,0.0557294361624994,Low Risk,0.725,Q3,2
CD012712_pub2_data,7,OR,27,-0.25847481232949,0.0773577293595376,0.000833892774845199,-0.410093175799981,-0.106856448859,0,0,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.0831654603404521,0.0122440790296896,24,0.303236726940981,0.0137188773225105,0,0,Robust,3.29583686600433,0.25847481232949,3.34129264741174,167.106203560971,FALSE,FALSE,0.0673427493244479,Low Risk,0.888888888888889,Q3,2
CD012712_pub2_data,8,OR,7,-0.132628829568917,0.0913306870645385,0.146450854800449,-0.31163368689871,0.0463760277608771,0,0,FALSE,FALSE,0,FALSE,0,gain,FALSE,0,0.0241973846667429,0.00721669420241125,3,0.358009714659587,0.0395926424727683,0,0,Robust,1.94591014905531,0.132628829568917,1.45218254490077,119.885470058254,FALSE,FALSE,0.220422300956627,Moderate Risk,0.428571428571429,Q2,2
CD012712_pub2_data,9,OR,12,-0.110362640581858,0.0867077827306681,0.20308503115779,-0.280306771913291,0.0595814907495759,0,0,FALSE,,,,,gain,,,,,11,0.339888262662867,,,,"",2.484906649788,0.110362640581858,1.27281124146222,133.009860693053,FALSE,FALSE,0.186352990902203,Low Risk,0.916666666666667,Q2,2
CD012712_pub2_data,10,OR,26,-0.144587165298446,0.226481918519549,0.523210145665488,-0.588483568746297,0.299309238149405,0,0,FALSE,FALSE,0,FALSE,0,gain,TRUE,1,0.140130514475717,0.032176578563374,17,0.887792806895702,0.023052645505813,1,0,Low Fragility,3.25809653802148,0.144587165298446,0.638404894499186,19.4954349758933,FALSE,FALSE,0.112889325401535,Low Risk,0.653846153846154,Q2,2
CD012712_pub2_data,11,OR,8,-0.075327939058889,0.225408531047264,0.738240668193238,-0.517120541719606,0.366464663601828,0,0,FALSE,FALSE,0,FALSE,0,gain,FALSE,0,0.0556492724544949,0.0336396631645275,8,0.883585205321433,0.0665815392593832,0,0,Robust,2.07944154167984,0.075327939058889,0.334184064413667,19.6815502074679,TRUE,FALSE,0.246050137167215,Moderate Risk,1,Q2,2
CD012712_pub2_data,12,OR,14,-0.0440656325826315,0.238522436291143,0.853429689718077,-0.511561017218021,0.423429752052758,0.00252561486981951,0.287114777584278,FALSE,TRUE,3,FALSE,0,gain,TRUE,2,0.213385769418001,0.0711235446800522,7,0.934990769270778,0.0696968471003595,2,0.214285714285714,Moderate Fragility,2.63905732961526,0.0440656325826315,0.184744182844269,17.5768694372405,TRUE,FALSE,0.215938202236242,Moderate Risk,0.5,Q1 (smallest),2
CD012712_pub2_data,13,OR,6,0.095421031236493,0.182698857437612,0.601471307620002,-0.262662149357844,0.45350421183083,0.00458965977767376,1.6513871192744,FALSE,TRUE,1,FALSE,0,gain,TRUE,1,0.1894581283399,0.0660714685959494,6,0.716166361188673,0.0940200425959795,2,0.166666666666667,Moderate Fragility,1.79175946922806,0.095421031236493,0.522285867436677,29.9590706585461,TRUE,FALSE,0.265954620399083,Moderate Risk,1,Q2,2
CD012712_pub2_data,14,OR,12,0.0859029242731285,0.186261176495008,0.644657934544829,-0.279162273375146,0.450968121921403,0.10473337760602,32.3441862985029,FALSE,TRUE,2,FALSE,0,gain,FALSE,0,0.213990847423237,0.0686619444465406,11,0.730130395296549,0.078824995072687,1,0.166666666666667,Low Fragility,2.484906649788,0.0859029242731285,0.461196079019885,28.8240708363983,TRUE,FALSE,0.305494903553462,Moderate Risk,0.916666666666667,Q2,2
CD012712_pub2_data,15,OR,16,-0.326851005429579,0.128050461816325,0.0106947630847727,-0.577825298793297,-0.075876712065862,0,0,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.0595630231570158,0.0112293923343259,16,0.501948586727435,0.021150570889466,0,0,Robust,2.77258872223978,0.326851005429579,2.55251719356087,60.9870605550409,FALSE,TRUE,0.0858526500351136,Low Risk,1,Q3,2
CD012712_pub2_data,16,OR,7,0.35995768709009,0.509991082800575,0.48030522807838,-0.639606467635622,1.3595218418158,0,0,FALSE,FALSE,0,FALSE,0,gain,TRUE,2,0.349652443285001,0.115657534145758,2,1.99912830945142,0.17631562435902,1,0,Low Fragility,1.94591014905531,0.35995768709009,0.705811727360822,3.84480957449702,FALSE,FALSE,0.106912452101751,Low Risk,0.285714285714286,Q3,2
CD012712_pub2_data,17,OR,9,-0.243340683935556,0.114573424698445,0.0336798297350933,-0.467900469929919,-0.018780897941192,0,0,TRUE,FALSE,0,TRUE,4,loss,TRUE,3,0.0537637123244599,0.0251448105031249,9,0.449119571988727,0.0372191414390151,2,0.444444444444444,Moderate Fragility,2.19722457733622,0.243340683935556,2.12388417799349,76.1784638065521,FALSE,TRUE,0.113528405714089,Low Risk,1,Q3,2
