dataset,analysis_id,k,estimate,I2,tau2,direction_fragile,sig_fragile,fragility_any,MAFI_base,MAFI_empirical,MAFI_simple
CD006536_pub5_data,18,32,-0.112700574888563,0,0,FALSE,FALSE,0,0.00328178047547615,3.02619204264637e-05,0
CD006536_pub5_data,19,21,-0.230944905579558,0,0,FALSE,FALSE,0,0.0527829063143859,0.00027481510903301,0
CD006536_pub5_data,20,11,-0.245144806687528,0,0,FALSE,FALSE,0,0.214294730991184,0.135407553375313,0.135
CD006536_pub5_data,21,24,-0.0911085236694784,0,0,FALSE,FALSE,0,0.00416386528308396,3.83957917980238e-05,0
CD006536_pub5_data,22,5,-0.412278712400631,0,0,FALSE,FALSE,0,0.236810987275621,0.225108911354603,0.225
CD006536_pub5_data,23,10,-0.532990778406253,0,0,FALSE,FALSE,0,0.161500055696823,0.150106044195521,0.15
CD006606_pub5_data,7,4,0.0607965723304194,92.0109020712724,1.31599942463293,TRUE,FALSE,1,0.840341968751877,0.772491079492051,0.49
CD006606_pub5_data,8,4,0.0607965723304194,92.0109020712724,1.31599942463293,TRUE,FALSE,1,0.840341968751877,0.772491079492051,0.49
CD006632_pub3_data,1,11,-0.214849599995921,0,0,FALSE,FALSE,0,0.270287800204661,0.135681147302276,0.135
CD006632_pub3_data,2,6,-0.154398327436934,0,0,FALSE,FALSE,0,0.221623052363976,0.210107178371125,0.21
CD006632_pub3_data,3,14,-0.104393982843786,0,0,FALSE,FALSE,0,0.0974890827942446,0.090069058253372,0.09
CD006632_pub3_data,4,15,-0.0951637317320382,0,0,FALSE,FALSE,0,0.0809299709306798,0.0750546813870631,0.075
CD006632_pub3_data,5,31,-0.0345176347111791,0,0,FALSE,FALSE,0,0.00338693375278286,3.1231558747557e-05,0
CD006632_pub3_data,6,12,-0.0443559904478373,0,0,FALSE,FALSE,0,0.122623577169231,0.120024192502857,0.12
CD006632_pub3_data,7,4,0.199107508210264,0,0,FALSE,FALSE,0,0.355073774202602,0.240616114327237,0.24
CD006632_pub3_data,8,5,-0.155239746071608,0,0,FALSE,FALSE,0,0.247284311814916,0.225205487867315,0.225
CD006632_pub3_data,10,5,-0.212051036076281,0,0,FALSE,FALSE,0,0.325281754789134,0.225568714865287,0.225
CD006632_pub3_data,11,5,-0.101950101099502,0,0,FALSE,FALSE,0,0.236582227788505,0.225106801919969,0.225
CD006632_pub3_data,12,12,0.0142184818984671,0,0,TRUE,FALSE,1,0.191971915087833,0.235762937447451,0.203333333333333
CD006689_pub3_data,1,17,-0.744071255979043,19.1096751856196,0.0593840447431016,FALSE,FALSE,0,0.0982682008359021,0.0833581186766376,0.045
CD006689_pub3_data,2,16,-0.100163048844305,22.198500465487,0.0437594695552278,FALSE,FALSE,0,0.112229836378081,0.104469228992779,0.06
CD006689_pub3_data,3,14,-0.214466421324173,43.0426426734274,0.0438547986518559,FALSE,TRUE,1,0.374398454263534,0.412810690312761,0.232857142857143
CD006689_pub3_data,4,16,-0.497165656545434,47.7936152846636,0.147513443080738,FALSE,FALSE,0,0.1673559391281,0.15569575206386,0.06
CD006689_pub3_data,5,15,-0.113534968353269,59.6301792896302,0.414303933930107,TRUE,FALSE,1,0.254759946455986,0.240798611359301,0.108333333333333
CD006689_pub3_data,6,13,-0.464710053146137,35.315642836184,0.17524787785489,FALSE,TRUE,1,0.329923793605011,0.493774636148795,0.297307692307692
CD006689_pub3_data,7,17,-0.165657657450448,10.6646264544283,0.040719187396775,,,,,,
CD006689_pub3_data,8,12,-0.271447484627143,37.9502596081279,0.19373016975743,,,,,,
CD006689_pub3_data,9,14,0.0239927369216202,0,0,TRUE,FALSE,1,0.164431518881333,0.189342864954559,0.161428571428571
CD006689_pub3_data,10,14,0.0845159962053189,0,0,FALSE,FALSE,0,0.0978111029744734,0.0900720276625517,0.09
CD006689_pub3_data,11,15,0.0775437295231266,0,0,FALSE,FALSE,0,0.084625947751045,0.0750887626905725,0.075
CD006689_pub3_data,12,16,0.0708719764200748,32.1664062134186,0.0706181555823386,TRUE,FALSE,1,0.168416679335809,0.167901544663886,0.09125
CD006689_pub3_data,14,17,-0.219916184062995,21.2537843952316,0.161245356401116,FALSE,FALSE,0,0.214087956323963,0.0882036111484104,0.045
CD006689_pub3_data,15,9,-0.108989348104713,0,0,FALSE,FALSE,0,0.174908235208365,0.165091365716776,0.165
CD006689_pub3_data,16,14,0.13936776654421,0,0,FALSE,FALSE,0,0.0990497191805687,0.0900834491775945,0.09
CD006689_pub3_data,17,14,-0.220256547864931,0,0,FALSE,TRUE,1,0.396029757702112,0.504050150838631,0.34
CD006689_pub3_data,18,12,1.01479262676593,83.8289891248419,1.55814051534091,FALSE,TRUE,1,0.410022119544318,0.494654704704237,0.245
CD006689_pub3_data,19,11,0.895010474273354,82.174421702663,1.85277862759963,FALSE,TRUE,1,0.411927096078392,0.450109409553878,0.225909090909091
CD006689_pub3_data,20,11,0.622014129485235,56.1213218851603,0.774917967822577,FALSE,FALSE,0,0.297544193346381,0.247706483902826,0.135
CD006689_pub3_data,21,8,0.445282532134804,15.2072767255183,0.04367333427839,FALSE,TRUE,1,0.318562966661735,0.417280193979735,0.305
CD006689_pub3_data,22,4,-0.118631402890999,3.98681638158279e-05,4.82715400142368e-08,FALSE,FALSE,0,0.256986546357163,0.240156715167932,0.24
CD006712_pub3_data,1,20,0.0326763884188084,0,0,FALSE,FALSE,0,0.00244247279143062,2.2522505027504e-05,0
CD006712_pub3_data,2,12,0.0264833424731776,0,0,FALSE,FALSE,0,0.121637345703828,0.120015098275394,0.12
CD006714_pub3_data,1,3,-0.502791071705359,0,0,FALSE,FALSE,0,0.395664356519738,0.256000424201488,0.255
CD006714_pub3_data,2,3,-1.86734399208798,0,0,FALSE,FALSE,0,0.261187111937274,0.255057052533073,0.255
CD006714_pub3_data,3,3,-1.17137194551732,0,0,FALSE,FALSE,0,0.318703327618602,0.255587420470595,0.255
CD006714_pub3_data,7,3,-3.27629271402965,0,0,FALSE,FALSE,0,0.312273826935848,0.255528132824911,0.255
CD006714_pub3_data,14,3,-0.226652030899775,0,0,FALSE,FALSE,0,0.323223297235012,0.255332431449363,0.255
CD006742_pub3_data,1,5,-0.154522745513766,3.06766849958793,0.00729438372001577,TRUE,FALSE,1,0.397887780095885,0.370614116719796,0.325
CD006742_pub3_data,2,4,-0.0751588728985795,0,0,FALSE,FALSE,0,0.256493577692707,0.240152090409281,0.24
CD006742_pub3_data,3,4,-0.747200201730752,0,0,FALSE,TRUE,1,0.482750685389889,0.653975217110116,0.49
CD006742_pub3_data,4,3,0.116222736296772,0,0,FALSE,FALSE,0,0.372222672212198,0.255784263982827,0.255
CD006839_pub5_data,1,7,-0.119524940567779,0,0,FALSE,FALSE,0,0.207412075292657,0.195114454101254,0.195
CD006839_pub5_data,2,6,0.867386257503427,44.8915072260517,1.51387954881605,FALSE,TRUE,1,0.470283761005585,0.438600823179799,0.293333333333333
CD006839_pub5_data,3,3,-1.25580432199278,0,0,FALSE,TRUE,1,0.528466565769411,0.806504043065017,0.588333333333333
CD006913_pub3_data,1,97,0.0194498986180803,0,0,FALSE,FALSE,0,0.00065047380763274,5.998142396537e-06,0
CD006913_pub3_data,2,72,0.00171563331821316,0,0,TRUE,FALSE,1,0.0845622705878024,0.144653853195066,0.104166666666667
CD006913_pub3_data,3,71,0.0117713371741433,0,0,FALSE,FALSE,0,0.000875566707100853,8.07376673008653e-06,0
CD006913_pub3_data,4,44,-0.0210385879171348,0,0,FALSE,FALSE,0,0.00199866197769966,1.84300413085279e-05,0
CD006913_pub3_data,5,37,-0.228538346673586,28.6422796448847,0.29304593366844,FALSE,FALSE,0,0.0975179810848612,0.057535288284675,0
CD006913_pub3_data,6,44,-0.319012981008115,17.1621844313241,0.207157805468555,FALSE,TRUE,1,0.063538184821016,0.0720243701826362,0.0227272727272727
CD006913_pub3_data,7,32,-0.301629915651242,43.5427889946731,0.296178060775026,FALSE,TRUE,1,0.120010133495958,0.138856277435337,0.03125
CD006913_pub3_data,8,63,-0.276899670092917,3.76089102085643,0.0337363425411125,FALSE,TRUE,1,0.0608748256584686,0.0732981675962982,0.0396825396825397
CD006913_pub3_data,9,70,0.0217062325087889,0,0,FALSE,FALSE,0,0.00174381287560686,1.60800293848421e-05,0
CD006913_pub3_data,10,54,0.0272990720355308,0,0,FALSE,FALSE,0,0.00084804747058512,7.82000662886729e-06,0
CD006913_pub3_data,11,60,-0.403721085331657,37.3654138434866,0.393468405231757,,,,,,
CD006913_pub3_data,12,61,-0.308567363211264,0,0,FALSE,TRUE,1,0.0390764038454702,0.0543440052011982,0.0327868852459016
CD006913_pub3_data,13,54,-0.256809061450639,22.4734133284043,0.138243150606958,FALSE,TRUE,1,0.196955890122363,0.351272802499362,0.185185185185185
CD006913_pub3_data,14,47,0.149992019712081,0,0,FALSE,FALSE,0,0.0205136976795972,0.000189160698429238,0
CD006913_pub3_data,15,36,0.261899108222699,0,0,FALSE,FALSE,0,0.0326928224734281,0.000276744342380821,0
CD006913_pub3_data,17,6,-0.17970417685874,0,0,FALSE,FALSE,0,0.260029350714917,0.210312995875835,0.21
CD006913_pub3_data,18,4,0.126651901892393,0,0,FALSE,FALSE,0,0.255725754626485,0.240145010167106,0.24
CD006913_pub3_data,19,4,0.00161033580800188,0,0,TRUE,FALSE,1,0.448328941734207,0.587218852987542,0.49
CD006913_pub3_data,20,4,0.00161033580800188,0,0,TRUE,FALSE,1,0.448328941734207,0.587218852987542,0.49
CD006913_pub3_data,23,3,-0.0184830233075123,0,0,TRUE,FALSE,1,0.399934388019476,0.486535009016721,0.421666666666667
CD006913_pub3_data,25,3,-0.0184830233075123,0,0,TRUE,FALSE,1,0.399934388019476,0.486535009016721,0.421666666666667
CD006913_pub3_data,29,4,0.00161033580800188,0,0,TRUE,FALSE,1,0.448328941734207,0.587218852987542,0.49
CD006919_pub5_data,1,14,0.047837614403274,18.667406729454,0.0518360452121005,TRUE,FALSE,1,0.167088734719567,0.177029650807903,0.125714285714286
CD006919_pub5_data,2,27,0.0707013710841332,0,0,FALSE,FALSE,0,0.00874492272096921,8.06385916105948e-05,0
CD006919_pub5_data,3,26,0.086924173283401,0,0,FALSE,FALSE,0,0.00699581047995198,6.45096957718391e-05,0
CD006919_pub5_data,4,36,0.36129277940956,31.0943100149617,0.224073469677766,FALSE,FALSE,0,0.0754618956689335,0.0623110154229693,0
CD006919_pub5_data,5,22,0.092274415077251,0,0,FALSE,FALSE,0,0.00525314713476618,4.84402664251134e-05,0
CD006919_pub5_data,7,16,-0.361051393934943,37.3174513291933,0.547755702755794,FALSE,TRUE,1,0.21086310469609,0.186693662550678,0.09125
CD006942_pub4_data,1,18,-0.0928136717876328,41.320353241306,0.109507473382062,TRUE,FALSE,1,0.149129899102837,0.151343603838627,0.0577777777777778
CD006942_pub4_data,2,6,-0.0825597168435731,36.3398716091227,0.0820978292135035,TRUE,FALSE,1,0.411954246097045,0.398822744440583,0.293333333333333
CD006942_pub4_data,3,5,0.0873665651905625,0,0,TRUE,FALSE,1,0.472776735720597,0.503345045011461,0.425
CD006982_pub5_data,1,8,0.0230741919097293,0,0,FALSE,FALSE,0,0.181581341392333,0.180014581849011,0.18
CD006982_pub5_data,2,3,0.0462979160225624,0,0,TRUE,FALSE,1,0.396816797586344,0.486506261123827,0.421666666666667
CD006982_pub5_data,3,3,-0.426086697865753,0,0,FALSE,FALSE,0,0.317477924992196,0.255576120800478,0.255
CD006982_pub5_data,4,4,-0.0523218585380428,43.5744755967755,0.333585112121431,TRUE,FALSE,1,0.694167845869059,0.675386111567909,0.49
CD006982_pub5_data,5,5,-0.161799895852099,0,0,FALSE,FALSE,0,0.243423646872594,0.225169887943386,0.225
CD007024_pub3_data,1,27,-0.0674126334723503,0,0,FALSE,FALSE,0,0.00122886419809641,1.13315899267541e-05,0
CD007024_pub3_data,2,20,-0.218104337298582,0,0,FALSE,FALSE,0,0.126926320530892,0.000636408350154059,0
CD007024_pub3_data,3,22,0.192785548839441,29.36819604769,0.193010721674149,FALSE,FALSE,0,0.125424979052577,0.0591086114207504,0
