dataset,analysis_id,measure,k,estimate,se,pval,ci_lb,ci_ub,tau2,I2,significant,direction_fragile,direction_fragility_index,sig_fragile,sig_fragility_index,sig_fragility_type,clinical_fragile,clinical_fragility_index,max_effect_change,mean_effect_change,max_change_study_idx,ci_width,ci_width_change,composite_fragility,fragility_quotient,fragility_class,DFI_rate,SFI_rate,CFI_rate,MAFI_core,het_penalty,k_penalty,MAFI,MAFI_class
CD007491_pub3_data,5,OR,4,-0.172821574192483,1.00369151144673,0.863291344923581,-2.14002078821664,1.79437763983167,0,0,FALSE,TRUE,1,FALSE,0,gain,TRUE,2,0.187323093746169,0.0935310920935518,2,3.93439842804831,0.608655995715288,2,0.25,Moderate Fragility,0.25,0,0.5,0.228098464061925,0,0.24,0.468098464061925,Moderate Fragility
CD007569_pub4_data,1,OR,19,0.225049698381049,0.197991929888306,0.255680042882167,-0.16300735342961,0.613106750191709,0,0,FALSE,FALSE,0,FALSE,0,gain,TRUE,4,0.159815721766686,0.0278330579156355,1,0.776114103621318,0.0283889395961255,1,0,Low Fragility,0,0,0.210526315789474,0.0660776214228976,0,0.015,0.0810776214228977,Robust
CD007569_pub4_data,2,OR,7,-0.417607381633542,0.760815811697022,0.583078062958207,-1.90877897142831,1.07356420816123,0,0,FALSE,FALSE,0,FALSE,0,gain,FALSE,0,0.0951765840305063,0.0690803545406071,5,2.98234317958954,0.238956255843338,0,0,Robust,0,0,0,0.0142764876045759,0,0.195,0.209276487604576,Low Fragility
CD007572_pub4_data,1,OR,13,-0.69344415346771,0.168607475544207,3.90935947597828e-05,-1.02390873305857,-0.362979573876846,0.182149370691001,55.0168601589735,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.0924996300049599,0.0407584444255536,12,0.660929159181726,0.0349651991375046,0,0,Robust,0,0,0,0.013874944500744,0.110033720317947,0.105,0.228908664818691,Low Fragility
CD007572_pub4_data,2,OR,10,-0.625410778734679,0.174304024302404,0.000333166093949766,-0.967040388727785,-0.283781168741574,0.134663747328751,47.8679039304794,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.130586488596576,0.0530455865304818,9,0.683259219986211,0.0441716037034542,0,0,Robust,0,0,0,0.0195879732894864,0.0957358078609588,0.15,0.265323781150445,Low Fragility
CD007572_pub4_data,3,OR,8,-0.740003501644193,0.160276579365639,3.89250816718397e-06,-1.05413982476612,-0.425867178522265,0.0376339677635245,18.8303753087033,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.129282496528211,0.0500442868571179,7,0.628272646243857,0.0578196258588738,0,0,Robust,0,0,0,0.0193923744792317,0.0376607506174066,0.18,0.237053125096638,Low Fragility
CD007572_pub4_data,4,OR,13,-0.945314376633449,0.128345105660823,1.76602703949385e-13,-1.19686616132065,-0.693762591946248,0.0612118423802947,31.1709344845119,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.0883591766242097,0.035685262917862,8,0.503103569374403,0.0605635755687353,0,0,Robust,0,0,0,0.0132538764936315,0.0623418689690238,0.105,0.180595745462655,Low Fragility
CD007572_pub4_data,5,OR,4,-0.809920490227675,1.00411086806466,0.4198942967781,-2.77794162811965,1.1581006476643,0,0,FALSE,FALSE,0,FALSE,0,gain,FALSE,0,0.276122460796112,0.138127416213654,3,3.93604227578395,0.60890815264835,0,0,Robust,0,0,0,0.0414183691194168,0,0.24,0.281418369119417,Low Fragility
CD007572_pub4_data,7,OR,4,-0.556554217941361,0.321330537919528,0.0832681733028251,-1.18635049939652,0.0732420635137958,0.116730502810147,28.3475890775814,FALSE,FALSE,0,FALSE,0,gain,FALSE,0,0.288107873126054,0.23354472522934,4,1.25959256291031,0.370722885060448,0,0,Robust,0,0,0,0.0432161809689081,0.0566951781551628,0.24,0.339911359124071,Moderate Fragility
CD007572_pub4_data,8,OR,4,-0.696640974618278,1.00165958923146,0.486750310543077,-2.65985769428113,1.26657574504457,0,0,FALSE,FALSE,0,FALSE,0,gain,FALSE,0,0.00356491683260685,0.00356459097603057,3,3.9264334393257,0.607421381181966,0,0,Robust,0,0,0,0.000534737524891027,0,0.24,0.240534737524891,Low Fragility
CD007572_pub4_data,9,OR,6,-0.242449980302094,0.192598709697032,0.208089966361147,-0.619936514777162,0.135036554172974,0,0,FALSE,FALSE,0,FALSE,0,gain,TRUE,2,0.12380364086464,0.0441896242397833,2,0.754973068950136,0.0788432870070548,1,0,Low Fragility,0,0,0.333333333333333,0.0852372127963627,0,0.21,0.295237212796363,Low Fragility
CD007572_pub4_data,10,OR,3,-0.200086628364633,0.2421619056982,0.408661461729282,-0.67471524196069,0.274541985231425,0,0,FALSE,FALSE,0,FALSE,0,gain,TRUE,1,0.231937178810267,0.130790046135767,1,0.949257227192115,0.252954004738253,1,0,Low Fragility,0,0,0.333333333333333,0.101457243488207,0,0.255,0.356457243488207,Moderate Fragility
CD007572_pub4_data,11,OR,4,-0.871170270907089,0.413480986754803,0.0351247431522273,-1.68157811323859,-0.0607624285755924,0,0,TRUE,FALSE,0,TRUE,4,loss,FALSE,0,0.0875746260554971,0.0550827907523498,3,1.62081568466299,0.282807095854568,1,1,Low Fragility,0,1,0,0.363136193908325,0,0.24,0.603136193908325,High Fragility
CD007639_pub3_data,1,OR,23,-0.128141323123227,0.418043478200348,0.759203953844854,-0.947491484367763,0.69120883812131,0,0,FALSE,FALSE,0,FALSE,0,gain,FALSE,0,0.117203570230169,0.013474890452896,1,1.63870032248907,0.0368553432099561,0,0,Robust,0,0,0,0.0175805355345253,0,0,0.0175805355345253,Robust
CD007639_pub3_data,2,OR,22,0.367998881607187,0.367093243748036,0.316118072203711,-0.351490655106946,1.08748841832132,0,0,FALSE,FALSE,0,FALSE,0,gain,TRUE,1,0.30896236084587,0.0277488431718704,16,1.43897907342827,0.0362494178624933,1,0,Low Fragility,0,0,0.0454545454545455,0.0554352632177896,0,0,0.0554352632177896,Robust
CD007639_pub3_data,3,OR,17,-0.25036580029588,0.306917197763766,0.41464668399117,-0.851912454148818,0.351180853557059,0,0,FALSE,FALSE,0,FALSE,0,gain,TRUE,2,0.120877795388567,0.0140182139942372,15,1.20309330770588,0.0579878011526796,1,0,Low Fragility,0,0,0.117647058823529,0.0416610810729909,0,0.045,0.086661081072991,Robust
CD007639_pub3_data,4,OR,17,-0.824006586680711,0.563293255709867,0.143511806111788,-1.92804108060636,0.28002790724494,2.75331626736542,72.5729688866828,FALSE,,,,,gain,,,,,9,2.2080689878513,,,,"",,,0,,0.145145937773366,0.045,,
CD007639_pub3_data,6,OR,10,0.242923694214578,0.167854474002313,0.147833077686509,-0.0860650294738692,0.571912417903026,0,0,FALSE,FALSE,0,FALSE,0,gain,TRUE,1,0.341065069480065,0.0400838429961124,7,0.657977447376895,0.168476473326367,1,0,Low Fragility,0,0,0.1,0.0711597604220098,0,0.15,0.22115976042201,Low Fragility
CD007639_pub3_data,7,OR,12,-0.0399776219432181,0.592838208157769,0.946235974128245,-1.2019191585917,1.12196391470527,0,0,FALSE,FALSE,0,FALSE,0,gain,FALSE,0,0.0370729950841762,0.00617193453984949,1,2.32388307329697,0.10348222548857,0,0,Robust,0,0,0,0.00556094926262643,0,0.12,0.125560949262626,Robust
CD007639_pub3_data,10,OR,3,-0.0081960276193803,1.16951295282798,0.9944084156118,-2.30039929461532,2.28400723937656,0,0,FALSE,TRUE,1,FALSE,0,gain,FALSE,0,0.0418023592064987,0.0279180419769962,1,4.58440653399188,1.03048006261751,1,0.333333333333333,Low Fragility,0.333333333333333,0,0,0.139603687214308,0,0.255,0.394603687214308,Moderate Fragility
CD007639_pub3_data,11,OR,5,-0.0293696531556523,0.518904430257493,0.954864352815925,-1.04640364787862,0.98766434156731,0.735180000835183,62.8558007093872,FALSE,TRUE,2,FALSE,0,gain,TRUE,5,0.555936833999228,0.484307757512321,2,2.03406798944593,1.02610386472797,2,0.4,Moderate Fragility,0.4,0,1,0.443390525099884,0.125711601418774,0.225,0.794102126518659,High Fragility
