"cutoff","data_type","n_analyses","prop_delta_i2_gt0","prop_abs_delta_i2_le_5","prop_abs_delta_i2_le_10","median_delta_i2","mean_delta_i2","prop_sig_change","prop_sign_flip"
1978,"continuous",11,0.363636363636364,0.727272727272727,0.727272727272727,0,-15.1336839854752,0.0909090909090909,0
1980,"binary",372,0.265753424657534,0.758904109589041,0.835616438356164,0,-0.807556891647534,0.0904109589041096,0.0821917808219178
1980,"continuous",11,0.363636363636364,0.727272727272727,0.727272727272727,0,-15.1336839854752,0.0909090909090909,0
1982,"binary",414,0.266009852216749,0.75615763546798,0.820197044334975,0,-1.0684238352813,0.0862068965517241,0.0812807881773399
1982,"continuous",11,0.363636363636364,0.727272727272727,0.727272727272727,0,-15.1336839854752,0.0909090909090909,0
1984,"binary",454,0.260674157303371,0.773033707865169,0.826966292134831,0,-1.16640678811051,0.0808988764044944,0.098876404494382
1984,"continuous",11,0.363636363636364,0.727272727272727,0.727272727272727,0,-15.1336839854752,0.0909090909090909,0
1986,"binary",587,0.249134948096886,0.773356401384083,0.828719723183391,0,-1.24380597791481,0.069204152249135,0.0916955017301038
1986,"continuous",11,0.363636363636364,0.727272727272727,0.727272727272727,0,-15.1336839854752,0.0909090909090909,0
1988,"binary",703,0.252161383285303,0.788184438040346,0.844380403458213,0,-1.12243272535402,0.0720461095100865,0.085014409221902
1988,"continuous",11,0.363636363636364,0.727272727272727,0.727272727272727,0,-15.0970488265984,0.0909090909090909,0
1990,"binary",905,0.266741071428571,0.764508928571429,0.847098214285714,0,-1.27632555232893,0.0658482142857143,0.0892857142857143
1990,"continuous",11,0.363636363636364,0.727272727272727,0.727272727272727,0,-15.0970488265984,0.0909090909090909,0
1992,"binary",1034,0.240704500978474,0.746575342465753,0.825831702544031,0,-2.09096929592828,0.0792563600782779,0.0919765166340509
1992,"continuous",12,0.416666666666667,0.75,0.75,0,-13.8010721265914,0.0833333333333333,0
1994,"binary",1251,0.229773462783172,0.746763754045307,0.833333333333333,0,-2.25439420513327,0.0809061488673139,0.0881877022653722
1994,"continuous",30,0.533333333333333,0.866666666666667,0.866666666666667,0.151852598736177,-5.60444843799607,0.1,0
1996,"binary",1458,0.240277777777778,0.747222222222222,0.818055555555556,0,-1.73879031645716,0.0798611111111111,0.0854166666666667
1996,"continuous",32,0.5625,0.875,0.875,0.436015371034777,-5.18877915328876,0.09375,0
1998,"binary",1688,0.225554889022196,0.740251949610078,0.806838632273545,0,-2.31737475138369,0.0821835632873425,0.0815836832633473
1998,"continuous",52,0.557692307692308,0.730769230769231,0.846153846153846,0.297228693555717,-4.35813723673359,0.0769230769230769,0.0192307692307692
1998,"giv",2,1,1,1,0.892880229549987,0.892880229549987,0,0
2000,"binary",2141,0.249174138744691,0.748938178386031,0.812175554506843,0,-1.79274204430375,0.0821142048135913,0.0920245398773006
2000,"continuous",61,0.60655737704918,0.688524590163934,0.786885245901639,0.509324946884036,-7.15916712543841,0.0819672131147541,0.0163934426229508
2000,"giv",4,0.5,1,1,0.331393685641387,0.446440114774994,0,0
2002,"binary",2415,0.229227557411273,0.741127348643006,0.799164926931107,0,-2.51796674336998,0.0860125260960334,0.104384133611691
2002,"continuous",67,0.537313432835821,0.656716417910448,0.761194029850746,0.0596379989503077,-9.28267992146708,0.149253731343284,0.0149253731343284
2002,"giv",5,0.6,1,1,0.662787371282775,0.516586555595143,0,0
2004,"binary",2756,0.22826880934989,0.741051862673484,0.806062819576333,0,-1.15400417788945,0.0891161431701972,0.107742878013148
2004,"continuous",67,0.373134328358209,0.686567164179104,0.776119402985075,-4.6717659742652e-05,-7.56419663653982,0.134328358208955,0.0597014925373134
2004,"giv",8,0.75,1,1,0.960072703346469,0.832152656694131,0,0
2006,"binary",3126,0.21297192642788,0.741852210390449,0.809616005162956,0,-1.09634979541511,0.090351726363343,0.107131332687964
2006,"continuous",77,0.38961038961039,0.623376623376623,0.74025974025974,0,-5.98061653312759,0.142857142857143,0.051948051948052
2006,"giv",12,0.75,0.833333333333333,0.916666666666667,1.14659098614888,-0.608949067574116,0.0833333333333333,0
2008,"binary",3380,0.193904989542874,0.749925306244398,0.808485210636391,0,-1.47977087831455,0.0770839557812967,0.123692859276964
2008,"continuous",83,0.409638554216867,0.566265060240964,0.72289156626506,0,-6.59166025836644,0.156626506024096,0.036144578313253
2008,"giv",22,0.590909090909091,0.636363636363636,0.818181818181818,0.783635515722779,0.513740965861194,0.136363636363636,0.0454545454545455
2010,"binary",3376,0.176241771394375,0.748952722920407,0.815978456014363,0,-1.36670574892905,0.0885697187312986,0.144524236983842
2010,"continuous",94,0.382978723404255,0.606382978723404,0.74468085106383,0,-5.21275332775446,0.159574468085106,0.074468085106383
2010,"giv",27,0.592592592592593,0.740740740740741,0.814814814814815,0.826887331360574,0.889765675041329,0.148148148148148,0.0740740740740741
2012,"binary",3365,0.174474474474474,0.751951951951952,0.809309309309309,0,-1.33618236536644,0.0912912912912913,0.157357357357357
2012,"continuous",106,0.490566037735849,0.594339622641509,0.735849056603774,0,-4.4057425068628,0.179245283018868,0.0377358490566038
2012,"giv",31,0.645161290322581,0.387096774193548,0.612903225806452,2.30738090317251,-2.03574927226615,0.129032258064516,0.0967741935483871
2014,"binary",3326,0.156297420333839,0.755690440060698,0.812746585735964,0,-1.73179489325939,0.0965098634294385,0.16206373292868
2014,"continuous",115,0.521739130434783,0.556521739130435,0.695652173913043,0.0890734203276509,-6.18083863811078,0.173913043478261,0.0521739130434783
2014,"giv",32,0.4375,0.40625,0.53125,0,-5.51199845833352,0.125,0.21875
2016,"binary",3072,0.146004603748767,0.75041104899704,0.793817823084512,0,-2.18487646347906,0.109832292009207,0.180861558697797
2016,"continuous",132,0.409090909090909,0.598484848484849,0.712121212121212,0,-6.33225771169494,0.257575757575758,0.0606060606060606
2016,"giv",32,0.375,0.34375,0.5625,-0.00062659578907817,-6.50920033177452,0.125,0.1875
2018,"binary",2725,0.140266469282013,0.762028127313101,0.804959289415248,0,-1.7991499946567,0.110288675055514,0.1880088823094
2018,"continuous",117,0.444444444444444,0.547008547008547,0.641025641025641,0,-8.78990464324701,0.307692307692308,0.0683760683760684
2018,"giv",31,0.193548387096774,0.32258064516129,0.387096774193548,-9.28256975117982,-12.3137235489781,0.0645161290322581,0.129032258064516
2020,"binary",2115,0.125714285714286,0.771428571428571,0.815714285714286,0,-2.37563812834112,0.111904761904762,0.208571428571429
2020,"continuous",97,0.309278350515464,0.371134020618557,0.463917525773196,-1.70572249041622,-17.2429324894508,0.350515463917526,0.0721649484536082
2020,"giv",19,0.157894736842105,0.421052631578947,0.421052631578947,-3.66356019234179,-20.7220445196626,0.315789473684211,0.0526315789473684
2022,"binary",932,0.133620689655172,0.71875,0.760775862068966,0,-3.50689363211329,0.119612068965517,0.228448275862069
2022,"continuous",62,0.193548387096774,0.306451612903226,0.354838709677419,-21.8307357255638,-27.1037475831268,0.306451612903226,0.112903225806452
2022,"giv",4,0,1,1,0,-0.96018340474567,0.25,0
2024,"binary",121,0.216666666666667,0.541666666666667,0.575,0,-1.42628063982034,0.2,0.183333333333333
2024,"continuous",3,0,0.333333333333333,0.333333333333333,-37.9854100446852,-40.2733072283474,0,0.333333333333333
