dataset,analysis_id,k,estimate,I2,tau2,direction_fragile,sig_fragile,fragility_any,MAFI_5comp,MAFI_3comp,MAFI_empirical,MAFI_simple,class_5comp,class_simple,agree
CD011689_pub4_data,6,319,-0.0756318997741335,88.3998479332575,0.287056025950644,FALSE,TRUE,1,0.256843964731885,0.323508159816358,0.363425906649253,0.112852664576803,Low,Robust,FALSE
CD011689_pub4_data,7,381,-0.234840231579863,91.6229324834556,0.520455804865242,FALSE,FALSE,0,0.184336950398718,0.183245864966911,0.183253146150974,0,Low,Robust,FALSE
CD011689_pub4_data,8,328,-0.0216347773796508,0,0,FALSE,FALSE,0,0.000598746644730128,0,3.99563993813899e-06,0,Robust,Robust,TRUE
CD011689_pub4_data,9,249,-0.013556784630623,0,0,FALSE,FALSE,0,0.000711814779982738,0,4.75018204860019e-06,0,Robust,Robust,TRUE
CD011689_pub4_data,10,18,0.010588716798502,0.00121221932680314,2.29320668229995e-07,TRUE,FALSE,1,0.0987170368973973,0.138335757771987,0.145798540193022,0.113333333333333,Robust,Robust,TRUE
CD011689_pub4_data,11,241,0.211027450410945,88.0246272404868,0.709175815117745,FALSE,FALSE,0,0.178125633717757,0.176049254480974,0.176063110865603,0,Low,Robust,FALSE
CD011689_pub4_data,12,303,0.337521501182849,79.0849957867363,0.705894829360972,FALSE,FALSE,0,0.160223147451707,0.158169991573473,0.158183692980735,0,Low,Robust,FALSE
CD011689_pub4_data,13,144,0.188043401429836,66.5016943304129,0.351750529985029,FALSE,FALSE,0,0.136678537259335,0.133003388660826,0.133027914176999,0,Robust,Robust,TRUE
CD011689_pub4_data,14,84,-0.0808268735118425,57.5049837619552,0.0775230454013019,FALSE,FALSE,0,0.117065461028197,0.11500996752391,0.115023684530946,0,Robust,Robust,TRUE
CD011689_pub4_data,16,273,0.845124774538012,96.6203595487374,2.08273497878848,FALSE,FALSE,0,0.195531145147854,0.193240719097475,0.193256003889269,0,Low,Robust,FALSE
CD011689_pub4_data,17,219,0.767194299048259,88.8428298618917,1.70320169315213,FALSE,FALSE,0,0.180802516665387,0.177685659723783,0.177706459569907,0,Low,Robust,FALSE
CD011689_pub4_data,19,30,-0.0421036374957765,0,0,FALSE,FALSE,0,0.00101235316101272,0,6.75577685026838e-06,0,Robust,Robust,TRUE
CD011689_pub4_data,20,30,-0.00821498800024571,85.1149213276543,0.213042419865145,TRUE,FALSE,1,0.376664573954724,0.495229842655309,0.517620131152469,0.25,Moderate,Low,FALSE
CD011689_pub4_data,18,168,0.600524210436836,35.2187670391687,0.26219527937398,FALSE,FALSE,0,0.0775984350453635,0.0704375340783374,0.0704853212052445,0,Robust,Robust,TRUE
CD011689_pub4_data,15,57,0.330469088571815,95.9225508529626,1.77209730272088,FALSE,FALSE,0,0.199627559336088,0.191845101705925,0.191897036691779,0,Low,Robust,FALSE
CD011762_pub2_data,1,206,-0.191018376366804,4.03032194864966,0.0256862220921584,FALSE,FALSE,0,0.0111359035571721,0.00806064389729932,0.00808116615061846,0,Robust,Robust,TRUE
CD011762_pub2_data,2,237,-0.691784839576577,47.6962220037369,0.280758665440313,FALSE,FALSE,0,0.0963883071226088,0.0953924440074738,0.0953990897406412,0,Robust,Robust,TRUE
CD011762_pub2_data,3,245,-0.441696852959463,9.97319306340939,0.0525434984170784,FALSE,FALSE,0,0.0215286259172871,0.0199463861268188,0.0199569449509127,0,Robust,Robust,TRUE
CD011762_pub2_data,4,291,-0.0317517982063819,11.2135011137998,0.0610264891651312,FALSE,FALSE,0,0.0233366623123149,0.0224270022275996,0.0224330726986354,0,Robust,Robust,TRUE
CD011762_pub2_data,5,131,0.321270177595659,25.6772881456582,0.0876745918965902,,,,,,,,,,
CD011762_pub2_data,6,163,-0.298998769069644,1.28660363239567,0.00517861474505468,FALSE,FALSE,0,0.00419660820716786,0.00257320726479134,0.00258404077124697,0,Robust,Robust,TRUE
CD011762_pub2_data,7,93,-0.144464045636274,15.2775684563416,0.00852093097618051,FALSE,FALSE,0,0.0317042353472418,0.0305551369126832,0.0305628052372381,0,Robust,Robust,TRUE
CD011762_pub2_data,8,131,-0.184539421798777,17.2349693119913,0.0159979945765673,FALSE,FALSE,0,0.0366513236356163,0.0344699386239826,0.0344844957478507,0,Robust,Robust,TRUE
CD011762_pub2_data,9,140,-0.440164638389827,10.0163965705213,0.039402528136238,FALSE,FALSE,0,0.0232814372564588,0.0200327931410426,0.0200544724477855,0,Robust,Robust,TRUE
CD011762_pub2_data,10,145,-0.52768380734303,32.3733076555599,0.079288861605639,FALSE,FALSE,0,0.066250705501184,0.0647466153111198,0.0647566526163588,0,Robust,Robust,TRUE
CD011762_pub2_data,11,90,-0.359452658593993,0,0,FALSE,FALSE,0,0.00346867057333095,0,2.314761810698e-05,0,Robust,Robust,TRUE
CD011762_pub2_data,12,80,-0.559662064944688,48.0024472575525,0.126440463243361,FALSE,FALSE,0,0.0984826121519523,0.096004894515105,0.0960214291673362,0,Robust,Robust,TRUE
CD011762_pub2_data,13,16,-0.302983911109165,0.00191413195113016,2.00692137352427e-06,FALSE,FALSE,0,0.0646603060077164,0.0600038282639022,0.0600349025231202,0.06,Robust,Robust,TRUE
CD011762_pub2_data,14,49,-0.578752401539266,0,0,FALSE,TRUE,1,0.117782648022539,0.212244897959184,0.270007606212077,0.163265306122449,Robust,Low,FALSE
CD011778_pub2_data,1,45,-0.00124324053720355,0,0,TRUE,FALSE,1,0.0182834109300095,0.0288888888888889,0.0308786940261521,0.0222222222222222,Robust,Robust,TRUE
CD011778_pub2_data,2,21,-0.00436233539023561,0,0,TRUE,FALSE,1,0.0197851765663233,0.0309523809523809,0.0330856217194632,0.0238095238095238,Robust,Robust,TRUE
CD011778_pub2_data,3,18,-0.00994815682418064,0,0,FALSE,FALSE,0,0.0312124025574777,0.03,0.030008090774491,0.03,Robust,Robust,TRUE
CD011778_pub2_data,4,10,-0.00317157126249228,0,0,FALSE,FALSE,0,0.150475735689374,0.15,0.150003174746008,0.15,Low,Robust,FALSE
CD011778_pub2_data,5,42,0.00111634689157513,0,0,TRUE,FALSE,1,0.0100577023282617,0.0154761904761905,0.0165439127218944,0.0119047619047619,Robust,Robust,TRUE
CD011778_pub2_data,6,17,0.000652493610863452,0,0,TRUE,FALSE,1,0.0689327620943808,0.0832352941176471,0.085867085499462,0.0744117647058824,Robust,Robust,TRUE
CD011778_pub2_data,7,15,0,0,0,FALSE,FALSE,0,0.075,0.075,0.075,0.075,Robust,Robust,TRUE
CD011778_pub2_data,8,5,0,0,0,FALSE,FALSE,0,0.225,0.225,0.225,0.225,Low,Low,TRUE
CD011778_pub2_data,9,17,0.00256891314191872,0,0,FALSE,FALSE,0,0.0453853369712878,0.045,0.0450025714846266,0.045,Robust,Robust,TRUE
CD011778_pub2_data,10,15,0.00291048709236641,0,0,FALSE,FALSE,0,0.075436573063855,0.075,0.0750029134004929,0.075,Robust,Robust,TRUE
CD011793_pub3_data,1,10,-0.129149390380807,0,0,FALSE,FALSE,0,0.236573862072067,0.15,0.150477636717198,0.15,Low,Robust,FALSE
CD011793_pub3_data,2,10,0.00376577635402996,0,0,TRUE,FALSE,1,0.232180989059186,0.28,0.288953493420482,0.25,Low,Low,TRUE
CD011793_pub3_data,3,12,0.0031363645864353,0,0,TRUE,FALSE,1,0.188440996819327,0.228333333333333,0.235794289824175,0.203333333333333,Low,Low,TRUE
