"cutoff","n_analyses","prop_delta_i2_gt0","prop_abs_delta_i2_le_5","prop_abs_delta_i2_le_10","median_delta_i2","mean_delta_i2","prop_delta_tau2_gt0","median_delta_tau2","mean_delta_tau2","prop_sig_change","prop_sig_loss","prop_sig_gain","prop_sign_flip"
1982,425,0.268585131894484,0.755395683453237,0.817745803357314,0,-1.43944988240872,0.244604316546763,0,-6.48185388959518,0.0863309352517986,0.0763723150357995,0.00950118764845606,0.079136690647482
1984,465,0.263157894736842,0.771929824561403,0.824561403508772,0,-1.50333672050308,0.230263157894737,0,-5.92943586887761,0.081140350877193,0.0697167755991285,0.0108695652173913,0.0964912280701754
1986,598,0.251273344651952,0.772495755517827,0.826825127334465,0,-1.50320947211374,0.212224108658744,0,-4.60035591633912,0.0696095076400679,0.0591216216216216,0.0101180438448567,0.0899830220713073
1988,714,0.253900709219858,0.787234042553192,0.842553191489362,0,-1.34047638083443,0.212765957446809,0,-3.84379359770491,0.0723404255319149,0.0607344632768362,0.0112834978843441,0.0836879432624113
1990,916,0.267916207276736,0.764057331863286,0.845644983461962,0,-1.44394182136638,0.226019845644983,0,-2.98241013772941,0.0661521499448732,0.0516483516483516,0.0142700329308452,0.0882028665931643
1992,1046,0.242746615087041,0.746615087040619,0.82495164410058,0,-2.22686990905009,0.213733075435203,0,-2.60579549885811,0.0793036750483559,0.0617164898746384,0.0172910662824208,0.0909090909090909
1994,1281,0.23696682464455,0.749605055292259,0.834123222748815,0,-2.33377937652813,0.221958925750395,0,-1.5740784545752,0.0813586097946288,0.0583136327817179,0.0227272727272727,0.0860979462875198
1996,1490,0.247282608695652,0.75,0.81929347826087,0,-1.81379007377958,0.233016304347826,0,-1.3525353556775,0.0801630434782609,0.0561949898442789,0.0236167341430499,0.0835597826086956
1998,1742,0.236490412550843,0.74026728646136,0.808251016850668,0,-2.37530568646581,0.227193492155723,0,1.28321092826122,0.0819291109819872,0.0619212962962963,0.0196418255343732,0.0796048808832074
2000,2206,0.259615384615385,0.747710622710623,0.811813186813187,0,-1.93852739289024,0.250457875457875,0,1.0545956937241,0.081959706959707,0.062043795620438,0.0196078431372549,0.0897435897435897
2002,2487,0.238346169436563,0.739359546007296,0.798540737738143,0,-2.69553586231513,0.235508715038508,0,0.930760786546987,0.0875557357113904,0.0635113268608414,0.0238191360516754,0.101743007701662
2004,2831,0.233202986135798,0.740490579452542,0.805901173124778,0,-1.30103355579663,0.232847493778884,0,0.887820275533978,0.0899395662993246,0.066785079928952,0.0230169971671388,0.106292214717384
2006,3215,0.219259723964868,0.739335006273526,0.808343789209536,0,-1.21248521889998,0.221141781681305,0,0.883968697554677,0.0915934755332497,0.0692139054181021,0.0221390707826629,0.105395232120452
2008,3485,0.20162224797219,0.744785631517961,0.80648899188876,0,-1.58997642813275,0.203650057937428,0,0.886506855663933,0.0793742757821553,0.0583477758521086,0.0207313561762165,0.12108922363847
2010,3497,0.185099624602945,0.745018769852729,0.814034074501877,0,-1.4535101797585,0.196361536240254,0,0.506324729677988,0.0909615939936471,0.0721084511104702,0.0186299799369447,0.142073346809125
2012,3502,0.188347274300548,0.74387078165561,0.805307182001731,0,-1.43628618685836,0.191808479953851,0,0.634245940946045,0.094317854052495,0.0774546501583645,0.0166046378471228,0.153158350158639
2014,3473,0.171121441022661,0.745787332945962,0.806217315514236,0,-1.9155852897557,0.178094131319001,0,1.16319299854869,0.0993608367228356,0.0812300551203946,0.0178932178932179,0.158919233004067
2016,3236,0.159126365054602,0.74009360374415,0.78814352574103,0,-2.39886482184098,0.17597503900156,0,2.05310943749413,0.11606864274571,0.0952974151354718,0.020452432599938,0.17597503900156
2018,2873,0.153333333333333,0.748421052631579,0.793684210526316,0,-2.20050791538267,0.167017543859649,0,2.22321163995874,0.117894736842105,0.0975438596491228,0.0201949860724234,0.182456140350877
2020,2231,0.134025270758123,0.750902527075812,0.796931407942238,0,-3.18371993089651,0.145758122743682,0,6.06935057660971,0.124097472924188,0.106498194945848,0.0174887892376682,0.201263537906137
2022,998,0.13682092555332,0.694164989939638,0.736418511066398,0,-4.96848126194565,0.14989939637827,0,62.4124482584692,0.131790744466801,0.114688128772636,0.0170511534603811,0.220321931589537
2024,124,0.211382113821138,0.536585365853659,0.569105691056911,0,-2.37376909319905,0.195121951219512,0,0.0160294585577224,0.195121951219512,0.121951219512195,0.0725806451612903,0.186991869918699
