"dataset_name","n_rows","n_cols","n_analyses","n_subgroups","has_binary_cols","has_continuous_cols","binary_complete_rows","continuous_complete_rows"
"CD006632_pub3_data",122,27,24,4,TRUE,TRUE,122,122
"CD006689_pub3_data",295,26,24,1,TRUE,TRUE,295,295
"CD006712_pub3_data",35,26,4,1,TRUE,TRUE,35,35
"CD006714_pub3_data",30,27,21,4,TRUE,TRUE,30,30
"CD006742_pub3_data",17,27,5,1,TRUE,TRUE,17,17
"CD006839_pub5_data",16,27,8,3,TRUE,TRUE,16,16
"CD006913_pub3_data",885,39,69,4,TRUE,TRUE,885,885
"CD006919_pub5_data",163,26,12,1,TRUE,TRUE,163,163
"CD006942_pub4_data",33,27,14,4,TRUE,TRUE,33,33
"CD006982_pub5_data",25,26,6,1,TRUE,TRUE,25,25
"CD007024_pub3_data",137,26,11,1,TRUE,TRUE,137,137
"CD007026_pub7_data",56,26,6,1,TRUE,TRUE,56,56
"CD007079_pub4_data",159,26,17,1,TRUE,TRUE,159,159
"CD007110_pub4_data",63,26,4,1,TRUE,TRUE,63,63
"CD007130_pub5_data",137,26,11,1,TRUE,TRUE,137,137
"CD007156_pub3_data",77,26,6,1,TRUE,TRUE,77,77
"CD007310_pub3_data",201,26,16,1,TRUE,TRUE,201,201
"CD007374_pub3_data",97,26,22,1,TRUE,TRUE,97,97
"CD007388_pub3_data",114,26,17,1,TRUE,TRUE,114,114
"CD007491_pub3_data",20,26,4,1,TRUE,TRUE,20,20
"CD007569_pub4_data",26,26,2,1,TRUE,TRUE,26,26
"CD007572_pub4_data",71,39,29,6,TRUE,TRUE,71,71
"CD007639_pub3_data",132,26,15,1,TRUE,TRUE,132,132
"CD007674_pub3_data",334,26,8,1,TRUE,TRUE,334,334
"CD007693_pub3_data",52,38,1,1,TRUE,TRUE,52,52
"CD007784_pub3_data",934,26,61,1,TRUE,TRUE,934,934
"CD007809_pub3_data",95,38,21,1,TRUE,TRUE,95,95
"CD007837_pub3_data",45,26,8,1,TRUE,TRUE,45,45
"CD007859_pub5_data",166,26,7,1,TRUE,TRUE,166,166
"CD007872_pub4_data",40,26,19,1,TRUE,TRUE,40,40
"CD007895_pub3_data",15,26,4,1,TRUE,TRUE,15,15
"CD007896_pub4_data",1526,26,4,1,TRUE,TRUE,1526,1526
"CD008063_pub3_data",179,26,3,1,TRUE,TRUE,179,179
"CD008145_pub4_data",85,26,8,1,TRUE,TRUE,85,85
"CD008165_pub5_data",47,26,6,1,TRUE,TRUE,47,47
"CD008176_pub3_data",891,26,28,1,TRUE,TRUE,891,891
"CD008237_pub4_data",25,27,13,3,TRUE,TRUE,25,25
"CD008309_pub3_data",160,26,28,1,TRUE,TRUE,160,160
"CD008349_pub5_data",588,27,25,3,TRUE,TRUE,588,588
"CD008469_pub3_data",50,26,6,1,TRUE,TRUE,50,50
"CD008493_pub5_data",118,26,8,1,TRUE,TRUE,118,118
"CD008552_pub8_data",226,26,7,1,TRUE,TRUE,226,226
"CD008564_pub3_data",281,38,11,1,TRUE,TRUE,281,281
"CD008628_pub3_data",68,26,11,1,TRUE,TRUE,68,68
"CD008688_pub3_data",19,27,8,1,TRUE,TRUE,19,19
"CD008709_pub4_data",353,26,20,1,TRUE,TRUE,353,353
"CD008771_pub3_data",42,26,22,1,TRUE,TRUE,42,42
"CD008858_pub5_data",157,26,5,1,TRUE,TRUE,157,157
"CD008873_pub5_data",58,26,15,1,TRUE,TRUE,58,58
"CD008879_pub3_data",48,26,3,1,TRUE,TRUE,48,48
"CD008940_pub4_data",189,39,13,4,TRUE,TRUE,189,189
"CD008973_pub3_data",62,26,8,1,TRUE,TRUE,62,62
"CD008995_pub3_data",5,38,4,1,TRUE,TRUE,5,5
"CD009022_pub4_data",71,27,13,1,TRUE,TRUE,71,71
"CD009102_pub2_data",29,26,12,1,TRUE,TRUE,29,29
"CD009235_pub4_data",831,27,50,8,TRUE,TRUE,831,831
"CD009244_pub3_data",27,27,4,1,TRUE,TRUE,27,27
"CD009252_pub2_data",96,26,4,1,TRUE,TRUE,96,96
"CD009298_pub3_data",333,27,90,4,TRUE,TRUE,322,11
"CD009362_pub4_data",132,26,4,1,TRUE,TRUE,132,132
"CD009417_pub3_data",38,26,10,1,TRUE,TRUE,38,38
"CD009508_pub2_data",78,26,4,1,TRUE,TRUE,78,78
"CD009531_pub3_data",136,38,13,1,TRUE,TRUE,136,136
"CD009535_pub3_data",84,26,30,1,TRUE,TRUE,84,84
"CD009609_pub3_data",52,26,10,1,TRUE,TRUE,12,40
"CD009679_pub3_data",176,26,12,1,TRUE,TRUE,176,176
"CD009730_pub3_data",158,26,15,1,TRUE,TRUE,158,158
"CD009749_pub3_data",124,26,10,1,TRUE,TRUE,124,124
"CD009752_pub3_data",80,26,23,1,TRUE,TRUE,80,80
"CD009788_pub3_data",32,38,11,1,TRUE,TRUE,32,32
"CD009945_pub3_data",7,26,3,1,TRUE,TRUE,7,7
"CD010001_pub4_data",243,26,6,1,TRUE,TRUE,243,243
"CD010136_pub4_data",23,26,15,1,TRUE,TRUE,23,23
"CD010145_pub2_data",138,27,50,5,TRUE,TRUE,138,138
"CD010163_pub3_data",5,26,3,1,TRUE,TRUE,5,5
"CD010189_pub3_data",44,26,10,1,TRUE,TRUE,44,44
"CD010216_pub9_data",221,26,19,1,TRUE,TRUE,221,221
"CD010290_pub4_data",146,26,17,1,TRUE,TRUE,146,146
"CD010333_pub4_data",8,26,8,1,TRUE,TRUE,8,8
"CD010441_pub3_data",32,26,7,1,TRUE,TRUE,32,32
"CD010533_pub3_data",83,26,7,1,TRUE,TRUE,83,83
"CD010583_pub6_data",65,27,13,3,TRUE,TRUE,65,65
"CD010779_pub2_data",20,26,5,1,TRUE,TRUE,20,20
"CD010856_pub3_data",81,26,12,1,TRUE,TRUE,81,81
"CD010861_pub3_data",196,26,18,1,TRUE,TRUE,136,96
"CD010966_pub4_data",1244,26,25,1,TRUE,TRUE,1244,1244
"CD011039_pub2_data",28,26,10,1,TRUE,TRUE,28,28
"CD011044_pub3_data",341,26,10,1,TRUE,TRUE,341,341
"CD011060_pub2_data",4,38,4,1,TRUE,TRUE,4,4
"CD011120_pub3_data",27,26,3,1,TRUE,TRUE,27,27
"CD011192_pub4_data",22,39,22,1,TRUE,TRUE,22,22
"CD011197_pub3_data",140,26,20,1,TRUE,TRUE,140,140
"CD011204_pub3_data",320,26,10,1,TRUE,TRUE,320,320
"CD011218_pub2_data",16,26,4,1,TRUE,TRUE,16,16
"CD011305_pub3_data",66,38,22,1,TRUE,TRUE,66,66
"CD011330_pub2_data",49,27,20,5,TRUE,TRUE,49,49
"CD011381_pub3_data",259,26,11,1,TRUE,TRUE,259,259
"CD011468_pub2_data",10,26,4,1,TRUE,TRUE,10,10
"CD011535_pub7_data",984,39,102,20,TRUE,TRUE,890,129
"CD011575_pub3_data",68,26,21,1,TRUE,TRUE,68,68
"CD011600_pub3_data",169,26,27,1,TRUE,TRUE,169,169
"CD011624_pub3_data",72,26,44,1,TRUE,TRUE,72,72
"CD011626_pub3_data",65,26,7,1,TRUE,TRUE,65,65
"CD011627_pub3_data",24,27,12,8,TRUE,TRUE,24,24
"CD011670_pub3_data",31,26,8,1,TRUE,TRUE,31,31
"CD011671_pub3_data",101,26,11,1,TRUE,TRUE,101,101
"CD011689_pub4_data",3665,27,77,9,TRUE,TRUE,3665,3665
"CD011762_pub2_data",2017,26,14,1,TRUE,TRUE,2017,2017
"CD011778_pub2_data",205,26,10,1,TRUE,TRUE,205,205
"CD011793_pub3_data",115,26,14,1,TRUE,TRUE,115,115
"CD011800_pub2_data",12,26,7,1,TRUE,TRUE,12,12
"CD011806_pub2_data",104,26,19,1,TRUE,TRUE,104,104
"CD011841_pub3_data",113,27,20,5,TRUE,TRUE,113,113
"CD011851_pub3_data",74,26,15,1,TRUE,TRUE,74,74
"CD011858_pub2_data",74,26,15,1,TRUE,TRUE,74,74
"CD011866_pub3_data",157,26,10,1,TRUE,TRUE,157,157
"CD011885_pub2_data",173,27,60,1,TRUE,TRUE,173,173
"CD012067_pub3_data",416,26,24,1,TRUE,TRUE,416,416
"CD012079_pub2_data",567,26,24,1,TRUE,TRUE,567,567
"CD012152_pub4_data",63,26,35,1,TRUE,TRUE,63,63
"CD012170_pub2_data",59,38,3,1,TRUE,TRUE,59,59
"CD012178_pub2_data",24,27,6,1,TRUE,TRUE,24,24
"CD012186_pub2_data",202,26,2,1,TRUE,TRUE,202,202
"CD012214_pub3_data",25,26,5,1,TRUE,TRUE,25,25
"CD012265_pub2_data",4,26,4,1,TRUE,TRUE,4,4
"CD012268_pub2_data",207,26,12,1,TRUE,TRUE,207,207
"CD012335_pub2_data",41,39,27,16,TRUE,TRUE,17,20
"CD012397_pub2_data",25,26,12,1,TRUE,TRUE,25,25
"CD012426_pub2_data",27,39,5,1,TRUE,TRUE,23,0
"CD012429_pub2_data",105,26,26,1,TRUE,TRUE,105,105
"CD012445_pub2_data",46,26,10,1,TRUE,TRUE,46,46
"CD012503_pub3_data",316,27,11,4,TRUE,TRUE,316,316
"CD012532_pub2_data",14,26,2,1,TRUE,TRUE,14,14
"CD012570_pub2_data",49,26,7,1,TRUE,TRUE,49,49
"CD012572_pub3_data",45,26,13,1,TRUE,TRUE,45,45
"CD012586_pub2_data",582,27,26,3,TRUE,TRUE,582,582
"CD012594_pub2_data",2,26,1,1,TRUE,TRUE,2,2
"CD012609_pub2_data",28,26,6,1,TRUE,TRUE,28,28
"CD012623_pub2_data",31,26,2,1,TRUE,TRUE,31,31
"CD012635_pub2_data",52,27,26,6,TRUE,TRUE,52,52
"CD012642_pub2_data",108,26,11,1,TRUE,TRUE,108,108
"CD012693_pub3_data",482,26,34,1,TRUE,TRUE,482,482
"CD012712_pub2_data",515,26,20,1,TRUE,TRUE,515,515
"CD012718_pub2_data",65,26,10,1,TRUE,TRUE,65,65
"CD012757_pub2_data",24,26,10,1,TRUE,TRUE,24,24
"CD012850_pub2_data",104,26,28,1,TRUE,TRUE,104,104
"CD012886_pub3_data",50,39,22,1,TRUE,TRUE,2,48
"CD012891_pub2_data",58,27,21,3,TRUE,TRUE,58,58
"CD012905_pub2_data",101,26,8,1,TRUE,TRUE,101,101
"CD012925_pub2_data",99,26,9,1,TRUE,TRUE,99,99
"CD012942_pub2_data",825,26,11,1,TRUE,TRUE,825,825
"CD012967_pub2_data",8,26,5,1,TRUE,TRUE,8,8
"CD012993_pub2_data",55,26,9,1,TRUE,TRUE,55,55
"CD012997_pub3_data",12,27,10,3,TRUE,TRUE,12,12
"CD013023_pub2_data",53,26,5,1,TRUE,TRUE,53,53
"CD013038_pub3_data",39,26,11,1,TRUE,TRUE,39,39
"CD013042_pub2_data",312,26,8,1,TRUE,TRUE,312,312
"CD013051_pub3_data",19,27,6,3,TRUE,TRUE,19,19
"CD013052_pub3_data",44,27,15,4,TRUE,TRUE,44,44
"CD013053_pub3_data",11,27,4,2,TRUE,TRUE,11,11
"CD013054_pub3_data",54,27,16,3,TRUE,TRUE,54,54
"CD013055_pub3_data",11,27,8,4,TRUE,TRUE,11,11
"CD013056_pub3_data",21,27,6,2,TRUE,TRUE,21,21
"CD013057_pub3_data",3,27,2,1,TRUE,TRUE,3,3
"CD013059_pub2_data",363,26,4,1,TRUE,TRUE,363,363
"CD013071_pub2_data",201,26,21,1,TRUE,TRUE,201,201
"CD013078_pub2_data",24,27,8,1,TRUE,TRUE,24,24
"CD013105_pub2_data",86,27,33,10,TRUE,TRUE,86,86
"CD013111_pub2_data",21,27,8,1,TRUE,TRUE,21,21
"CD013158_pub2_data",13,26,5,1,TRUE,TRUE,13,13
"CD013166_pub3_data",124,27,9,3,TRUE,TRUE,124,124
"CD013197_pub2_data",375,26,19,1,TRUE,TRUE,197,294
"CD013232_pub2_data",1540,26,21,1,TRUE,TRUE,1540,1540
"CD013255_pub2_data",141,26,6,1,TRUE,TRUE,141,141
"CD013278_pub3_data",223,27,98,6,TRUE,TRUE,223,223
"CD013284_pub2_data",111,26,16,1,TRUE,TRUE,111,111
"CD013294_pub2_data",77,26,13,1,TRUE,TRUE,77,77
"CD013295_pub2_data",916,26,10,1,TRUE,TRUE,916,916
"CD013303_pub2_data",132,26,25,1,TRUE,TRUE,132,132
"CD013329_pub2_data",11,26,11,1,TRUE,TRUE,11,11
"CD013331_pub2_data",40,38,6,1,TRUE,TRUE,40,40
"CD013332_pub2_data",67,26,4,1,TRUE,TRUE,67,67
"CD013342_pub2_data",224,27,29,7,TRUE,TRUE,224,224
"CD013344_pub2_data",97,26,15,1,TRUE,TRUE,97,97
"CD013353_pub2_data",29,26,6,1,TRUE,TRUE,29,29
"CD013355_pub2_data",21,27,7,1,TRUE,TRUE,21,21
"CD013358_pub2_data",335,26,21,1,TRUE,TRUE,335,335
"CD013366_pub2_data",140,26,15,1,TRUE,TRUE,140,140
"CD013377_pub2_data",28,26,5,1,TRUE,TRUE,28,28
"CD013396_pub2_data",129,27,27,9,TRUE,TRUE,129,129
"CD013408_pub2_data",54,26,17,1,TRUE,TRUE,54,54
"CD013414_pub2_data",70,26,10,1,TRUE,TRUE,70,70
"CD013421_pub2_data",102,26,7,1,TRUE,TRUE,102,102
"CD013425_pub2_data",285,26,13,1,TRUE,TRUE,285,285
"CD013429_pub2_data",107,26,10,1,TRUE,TRUE,107,107
"CD013445_pub2_data",553,26,36,1,TRUE,TRUE,553,553
"CD013456_pub2_data",177,38,14,1,TRUE,TRUE,177,177
"CD013462_pub3_data",122,27,11,3,TRUE,TRUE,117,5
"CD013468_pub2_data",41,26,3,1,TRUE,TRUE,41,41
"CD013474_pub2_data",82,26,15,1,TRUE,TRUE,82,82
"CD013476_pub2_data",23,26,14,1,TRUE,TRUE,23,23
"CD013508_pub3_data",122,38,15,1,TRUE,TRUE,122,122
"CD013539_pub2_data",321,26,11,1,TRUE,TRUE,321,321
"CD013541_pub2_data",191,26,10,1,TRUE,TRUE,191,191
"CD013561_pub2_data",24,26,7,1,TRUE,TRUE,24,24
"CD013571_pub2_data",65,38,13,1,TRUE,TRUE,65,65
"CD013590_pub2_data",132,26,11,1,TRUE,TRUE,132,132
"CD013591_pub2_data",70,38,9,1,TRUE,TRUE,70,70
"CD013595_pub2_data",66,26,10,1,TRUE,TRUE,66,66
"CD013613_pub2_data",74,26,15,1,TRUE,TRUE,74,74
"CD013614_pub2_data",541,27,155,6,TRUE,TRUE,541,541
"CD013631_pub2_data",116,26,27,1,TRUE,TRUE,116,116
"CD013643_pub2_data",49,27,20,3,TRUE,TRUE,49,49
"CD013672_pub2_data",61,27,9,3,TRUE,TRUE,61,61
"CD013707_pub2_data",49,26,11,1,TRUE,TRUE,49,49
"CD013715_pub2_data",91,26,23,1,TRUE,TRUE,91,91
"CD013719_pub2_data",59,38,12,1,TRUE,TRUE,59,59
"CD013726_pub2_data",82,26,8,1,TRUE,TRUE,82,82
"CD013729_pub2_data",26,27,12,1,TRUE,TRUE,26,26
"CD013731_pub2_data",17,38,4,1,TRUE,TRUE,17,17
"CD013745_pub2_data",51,26,7,1,TRUE,TRUE,51,51
"CD013748_pub2_data",82,38,7,1,TRUE,TRUE,82,82
"CD013757_pub3_data",39,39,13,3,TRUE,TRUE,39,39
"CD013758_pub2_data",345,26,25,1,TRUE,TRUE,345,345
"CD013763_pub3_data",396,38,14,1,TRUE,TRUE,396,396
"CD013764_pub2_data",28,39,7,1,TRUE,TRUE,28,28
"CD013773_pub2_data",23,26,3,1,TRUE,TRUE,23,23
"CD013774_pub2_data",48,38,10,1,TRUE,TRUE,48,48
"CD013781_pub2_data",449,26,27,1,TRUE,TRUE,449,449
"CD013789_pub2_data",385,26,22,1,TRUE,TRUE,385,385
"CD013800_pub2_data",140,26,19,1,TRUE,TRUE,140,140
"CD013801_pub2_data",56,39,35,4,TRUE,TRUE,29,27
"CD013810_pub2_data",34,39,16,1,TRUE,TRUE,34,34
"CD013816_pub2_data",90,38,19,1,TRUE,TRUE,90,90
"CD013821_pub2_data",90,26,11,1,TRUE,TRUE,90,90
"CD013822_pub2_data",90,38,10,1,TRUE,TRUE,90,90
"CD013823_pub2_data",26,26,12,1,TRUE,TRUE,26,26
"CD013827_pub2_data",145,38,14,1,TRUE,TRUE,145,145
"CD013830_pub2_data",150,27,64,9,TRUE,TRUE,150,150
"CD013834_pub2_data",86,38,4,1,TRUE,TRUE,86,86
"CD013835_pub2_data",4,26,2,1,TRUE,TRUE,4,4
"CD013844_pub2_data",100,26,11,1,TRUE,TRUE,100,100
"CD013853_pub2_data",47,38,6,1,TRUE,TRUE,47,47
"CD013857_pub2_data",3,26,3,1,TRUE,TRUE,3,3
"CD013874_pub3_data",136,26,16,1,TRUE,TRUE,136,136
"CD013875_pub2_data",80,38,18,1,TRUE,TRUE,80,80
"CD014040_pub2_data",48,38,10,1,TRUE,TRUE,48,48
"CD014089_data",136,26,11,1,TRUE,TRUE,136,136
"CD014145_pub2_data",24,26,9,1,TRUE,TRUE,24,24
"CD014160_pub2_data",6,26,5,1,TRUE,TRUE,6,6
"CD014300_pub2_data",34,26,14,1,TRUE,TRUE,34,34
"CD014428_pub2_data",42,27,13,5,TRUE,TRUE,42,42
"CD014497_pub2_data",2,27,2,1,TRUE,TRUE,2,2
"CD014541_pub2_data",94,38,28,1,TRUE,TRUE,94,94
"CD014544_pub2_data",121,26,6,1,TRUE,TRUE,121,121
"CD014573_data",12,26,7,1,TRUE,TRUE,12,12
"CD014574_pub2_data",60,27,38,3,TRUE,TRUE,35,25
"CD014580_pub2_data",33,26,8,1,TRUE,TRUE,33,33
"CD014585_pub2_data",101,39,17,5,TRUE,TRUE,101,101
"CD014594_pub2_data",105,26,5,1,TRUE,TRUE,105,105
"CD014617_pub3_data",12,39,8,3,TRUE,TRUE,12,12
"CD014623_pub2_data",10,39,7,1,TRUE,TRUE,5,5
"CD014624_pub2_data",305,27,57,12,TRUE,TRUE,305,305
"CD014666_pub2_data",130,26,5,1,TRUE,TRUE,130,130
"CD014678_pub2_data",223,26,8,1,TRUE,TRUE,223,223
"CD014687_pub2_data",38,38,3,1,TRUE,TRUE,38,38
"CD014688_pub2_data",13,26,2,1,TRUE,TRUE,13,13
"CD014713_pub2_data",15,39,4,1,TRUE,TRUE,15,15
"CD014722_pub2_data",355,38,21,1,TRUE,TRUE,355,355
"CD014736_pub2_data",28,26,6,1,TRUE,TRUE,28,28
"CD014741_pub2_data",212,26,9,1,TRUE,TRUE,212,212
"CD014755_pub2_data",10,38,9,1,TRUE,TRUE,10,10
"CD014758_pub3_data",274,38,10,1,TRUE,TRUE,274,274
"CD014762_pub2_data",30,26,5,1,TRUE,TRUE,30,30
"CD014763_pub2_data",68,26,8,1,TRUE,TRUE,68,68
"CD014769_pub2_data",345,26,28,1,TRUE,TRUE,345,345
"CD014785_pub2_data",8,26,4,1,TRUE,TRUE,8,8
"CD014792_pub2_data",68,26,10,1,TRUE,TRUE,68,68
"CD014802_pub2_data",19,26,13,1,TRUE,TRUE,19,19
"CD014803_pub2_data",14,38,2,1,TRUE,TRUE,14,14
"CD014811_pub2_data",33,38,5,1,TRUE,TRUE,33,33
"CD014820_pub2_data",687,26,10,1,TRUE,TRUE,687,687
"CD014833_pub2_data",30,39,13,1,TRUE,TRUE,30,30
"CD014844_pub2_data",40,39,16,4,TRUE,TRUE,40,40
"CD014845_pub2_data",184,38,12,1,TRUE,TRUE,184,184
"CD014852_pub2_data",202,26,28,1,TRUE,TRUE,202,202
"CD014855_pub2_data",72,27,16,3,TRUE,TRUE,72,72
"CD014861_pub2_data",42,27,11,1,TRUE,TRUE,42,42
"CD014869_pub2_data",34,38,7,1,TRUE,TRUE,34,34
"CD014871_pub2_data",99,26,66,1,TRUE,TRUE,99,99
"CD014872_pub2_data",335,26,15,1,TRUE,TRUE,335,335
"CD014889_pub2_data",26,38,5,1,TRUE,TRUE,26,26
"CD014891_pub2_data",25,26,18,1,TRUE,TRUE,25,25
"CD014914_pub2_data",240,26,13,1,TRUE,TRUE,122,147
"CD014920_pub2_data",9,26,6,1,TRUE,TRUE,9,9
"CD014923_pub2_data",27,38,4,1,TRUE,TRUE,27,27
"CD014932_pub2_data",53,38,7,1,TRUE,TRUE,53,53
"CD014935_pub2_data",29,39,11,1,TRUE,TRUE,29,29
"CD014937_pub2_data",652,38,22,1,TRUE,TRUE,652,652
"CD014941_pub2_data",60,26,21,1,TRUE,TRUE,60,60
"CD014944_pub2_data",18,38,5,1,TRUE,TRUE,18,18
"CD014959_pub2_data",62,38,16,1,TRUE,TRUE,62,62
"CD014960_pub2_data",17,38,9,1,TRUE,TRUE,17,17
"CD014964_pub2_data",1305,39,19,4,TRUE,TRUE,522,783
"CD014965_pub2_data",177,39,70,5,TRUE,TRUE,177,177
"CD014966_pub2_data",105,26,4,1,TRUE,TRUE,105,105
"CD014967_pub2_data",105,38,16,1,TRUE,TRUE,105,105
"CD014999_pub2_data",21,26,6,1,TRUE,TRUE,21,21
"CD015003_pub2_data",26,26,6,1,TRUE,TRUE,26,26
"CD015014_pub2_data",299,26,48,1,TRUE,TRUE,299,299
"CD015033_pub2_data",154,38,23,1,TRUE,TRUE,154,154
"CD015038_pub2_data",81,26,16,1,TRUE,TRUE,81,81
"CD015040_pub2_data",46,38,4,1,TRUE,TRUE,46,46
"CD015042_pub2_data",12,38,3,1,TRUE,TRUE,12,12
"CD015046_pub2_data",20,39,12,1,TRUE,TRUE,14,6
"CD015060_pub2_data",27,26,4,1,TRUE,TRUE,27,27
"CD015064_pub2_data",14,26,1,1,TRUE,TRUE,14,14
"CD015066_pub2_data",8,38,2,1,TRUE,TRUE,8,8
"CD015083_pub2_data",1589,26,12,1,TRUE,TRUE,1589,1589
"CD015084_pub2_data",32,26,6,1,TRUE,TRUE,32,32
"CD015087_pub2_data",113,26,16,1,TRUE,TRUE,78,35
