"dataset_name","missing_study","duplicate_study","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch","variance_se_mismatch","weight_negative"
"CD014792_pub2_data",0,13,0,0,0,0,0,0,0,0,0,0,12,0,37,63,63,0,0,0,58,0,0
"CD014802_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,16,16,0,0,0,19,0,0
"CD014803_pub2_data",0,5,0,0,0,0,0,0,0,0,0,0,5,0,7,9,9,0,0,0,12,1,0
"CD014811_pub2_data",0,13,0,0,0,0,0,0,0,0,0,0,16,0,20,18,18,0,0,0,32,0,0
"CD014820_pub2_data",0,534,0,0,0,0,0,0,0,0,0,0,213,0,388,557,557,0,0,0,558,0,0
"CD014833_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,19,19,0,0,0,30,0,0
"CD014844_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,40,40,0,0,0,38,0,0
"CD014845_pub2_data",0,35,0,0,0,0,0,0,0,0,0,0,184,0,184,133,133,0,0,0,51,86,0
"CD014852_pub2_data",0,1,0,0,0,0,0,0,0,0,0,0,116,0,122,86,86,0,0,0,200,0,0
"CD014855_pub2_data",0,6,0,0,0,0,0,0,0,0,0,0,24,0,34,57,57,0,0,0,58,3,0
"CD014861_pub2_data",0,21,0,0,0,0,0,0,0,0,0,0,30,0,35,22,22,0,0,0,30,5,0
"CD014869_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,33,33,0,0,0,34,0,0
"CD014871_pub2_data",0,18,0,0,0,0,0,0,0,0,0,0,99,0,99,0,0,0,0,0,99,0,0
"CD014872_pub2_data",0,10,0,0,0,0,0,0,0,0,0,0,226,0,229,326,326,0,0,0,333,49,0
"CD014889_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,26,26,0,0,0,22,0,0
"CD014891_pub2_data",0,1,0,0,0,0,0,0,0,0,0,0,16,0,18,10,10,0,0,0,23,0,0
"CD014914_pub2_data",0,96,0,0,0,0,0,0,0,0,0,0,2,0,16,30,29,0,0,0,29,0,0
"CD014920_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,8,0,0,0,8,0,0
"CD014923_pub2_data",0,15,0,0,0,0,0,0,0,0,0,0,16,0,21,11,11,0,0,0,25,0,0
"CD014932_pub2_data",0,18,0,0,0,0,0,0,0,0,0,0,53,0,53,0,0,0,0,0,52,0,0
"CD014935_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,23,23,0,0,0,28,0,0
"CD014937_pub2_data",0,72,0,0,0,0,0,0,0,0,0,0,133,0,238,633,633,0,0,0,536,1,0
"CD014941_pub2_data",0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,0,0,60,0,0
"CD014944_pub2_data",0,8,0,0,0,0,0,0,0,0,0,0,2,0,3,16,16,0,0,0,18,0,0
"CD014959_pub2_data",0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,62,62,0,0,0,62,0,0
"CD014960_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,15,15,0,0,0,17,0,0
"CD014964_pub2_data",0,673,0,0,0,0,0,0,0,0,0,0,68,0,154,62,18,0,0,0,0,0,0
"CD014965_pub2_data",0,5,0,0,0,0,0,0,0,0,0,0,85,0,126,95,95,0,0,0,143,0,0
"CD014966_pub2_data",0,53,0,0,0,0,0,0,0,0,0,0,6,0,12,105,105,0,0,0,104,4,0
"CD014967_pub2_data",0,7,0,0,0,0,0,0,0,0,0,0,24,2,41,98,98,0,0,0,88,0,0
"CD014999_pub2_data",0,9,0,0,0,0,0,0,0,0,0,0,4,0,5,17,17,0,0,0,21,0,0
"CD015003_pub2_data",0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,26,26,0,0,0,26,0,0
"CD015014_pub2_data",0,5,0,0,0,0,6,6,0,0,0,0,102,6,130,269,269,0,0,0,240,44,0
"CD015033_pub2_data",0,13,0,0,0,0,0,0,0,0,0,0,103,0,108,51,51,0,0,0,154,0,0
"CD015038_pub2_data",0,4,0,0,0,0,0,0,0,0,0,0,33,2,55,54,54,0,0,0,75,0,0
"CD015040_pub2_data",0,25,0,0,0,0,0,0,0,0,0,0,46,0,46,0,0,0,0,0,32,0,0
"CD015042_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,10,10,0,0,0,9,0,0
"CD015046_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"CD015060_pub2_data",0,6,0,0,0,0,0,0,0,0,0,0,13,0,16,14,14,0,0,0,26,0,0
"CD015064_pub2_data",0,3,0,0,0,0,0,0,0,0,0,0,2,0,5,12,12,0,0,0,14,0,0
"CD015066_pub2_data",0,4,0,0,0,0,0,0,0,0,0,0,6,0,6,2,2,0,0,0,8,0,0
"CD015083_pub2_data",0,1349,0,0,0,0,0,0,0,0,0,0,1589,0,1589,1589,1589,0,0,0,732,1261,0
"CD015084_pub2_data",0,6,0,0,0,0,0,0,0,0,0,0,19,0,21,13,13,0,0,0,32,0,0
"CD015087_pub2_data",0,12,0,0,0,0,0,0,0,0,0,0,14,2,34,0,0,0,0,0,0,0,0
"CD015101_data",0,27,0,0,0,0,0,0,0,0,0,0,39,0,41,3,3,0,0,0,39,0,0
"CD015112_pub3_data",0,0,0,0,0,0,3,3,0,0,0,0,3,3,3,3,3,0,0,0,3,3,0
"CD015120_pub2_data",0,18,0,0,0,0,3,3,0,0,0,0,66,3,66,66,66,0,0,0,66,7,0
"CD015122_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,21,0,28,68,68,0,0,0,78,0,0
"CD015123_pub2_data",0,0,0,0,0,0,4,4,0,0,0,0,9,4,11,30,30,0,0,0,32,1,0
"CD015124_pub2_data",0,14,0,0,0,0,24,25,0,0,0,0,25,24,25,25,25,0,0,0,21,24,0
"CD015134_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,8,0,14,32,32,0,0,0,24,0,0
"CD015140_pub2_data",0,0,0,0,0,0,2,2,0,0,0,0,106,2,111,142,142,0,0,0,151,2,0
"CD015145_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"CD015158_pub2_data",0,22,0,0,0,0,4,4,0,0,0,0,46,4,46,10,10,0,0,0,48,4,0
"CD015160_pub2_data",0,18,0,0,0,0,0,0,0,0,0,0,34,0,38,52,52,0,0,0,18,0,0
"CD015192_pub2_data",0,12,0,0,0,0,0,0,0,0,0,0,22,0,37,67,67,0,0,0,45,0,0
"CD015213_pub2_data",0,17,0,0,0,0,0,0,0,0,0,0,95,0,155,168,168,0,0,0,239,0,0
"CD015215_pub2_data",0,76,0,0,0,0,63,63,0,0,0,0,146,66,160,131,131,0,0,0,183,63,0
"CD015219_pub2_data",0,108,0,0,0,0,18,18,0,0,0,0,22,18,96,285,285,0,0,0,289,18,0
"CD015229_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"CD015252_pub2_data",0,28,0,0,0,0,0,0,0,0,0,0,14,0,17,52,52,0,0,0,66,0,0
"CD015254_pub2_data",0,3,0,0,0,0,0,0,0,0,0,0,8,0,8,68,68,0,0,0,76,0,0
"CD015255_pub2_data",0,3,0,0,0,0,2,2,0,0,0,0,15,2,17,91,91,0,0,0,103,2,0
"CD015284_pub2_data",0,0,0,0,0,0,1,1,0,0,0,0,143,1,143,25,25,0,0,0,145,1,0
"CD015313_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0
"CD015314_pub2_data",0,9,0,0,0,0,0,0,0,0,0,0,2,0,4,71,71,0,0,0,69,0,0
"CD015326_pub2_data",0,14,0,0,0,0,0,0,0,0,0,0,433,0,433,433,433,0,0,0,0,241,0
"CD015328_pub2_data",0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD015330_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD015331_pub2_data",0,301,0,0,0,0,0,0,0,0,0,0,804,0,855,187,187,0,0,0,977,0,0
"CD015332_pub2_data",0,143,0,0,0,0,0,0,0,0,0,0,181,0,219,79,80,0,0,0,243,0,0
"CD015350_pub2_data",0,4,0,0,0,0,0,0,0,0,0,0,25,0,32,38,38,0,0,0,41,14,0
"CD015373_pub2_data",0,10,0,0,0,0,0,0,0,0,0,0,9,0,52,2,2,0,0,0,2,0,0
"CD015383_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,22,22,0,0,0,0,13,0
"CD015387_pub2_data",0,35,0,0,0,0,0,0,0,0,0,0,9,0,26,0,0,0,0,0,0,0,0
"CD015395_pub3_data",0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,17,17,0,0,0,17,0,0
"CD015432_pub2_data",0,24,0,0,0,0,0,0,0,0,0,0,88,0,96,97,97,0,0,0,119,0,0
"CD015443_pub2_data",0,9,0,0,0,0,0,0,0,0,0,0,5,0,19,84,84,0,0,0,86,0,0
"CD015448_pub2_data",0,3,0,0,0,0,0,0,0,0,0,0,46,0,46,8,8,0,0,0,25,0,0
"CD015462_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,16,0,21,24,24,0,0,0,32,0,0
"CD015476_pub2_data",0,12,0,0,0,0,0,0,0,0,0,0,56,0,58,136,136,0,0,0,185,0,0
"CD015495_data",0,18,0,0,0,0,0,0,0,0,0,0,36,0,36,41,41,0,0,0,41,8,0
"CD015514_pub2_data",0,5,0,0,0,0,5,5,0,0,0,0,7,5,7,13,13,0,0,0,10,4,0
"CD015517_data",0,138,0,0,0,0,0,0,0,0,0,0,216,0,216,1,1,0,0,0,64,0,0
"CD015518_data",0,150,0,0,0,0,0,0,0,0,0,0,208,0,208,0,0,0,0,0,53,0,0
"CD015519_pub2_data",0,17,0,0,0,0,0,0,0,0,0,0,38,0,39,2,2,0,0,0,21,0,0
"CD015520_data",0,23,0,0,0,0,0,0,0,0,0,0,104,0,104,0,0,0,0,0,32,0,0
"CD015524_pub2_data",0,57,0,0,0,0,0,0,0,0,0,0,213,0,216,89,89,0,0,0,216,2,0
"CD015526_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,8,8,0,0,0,4,0,0
"CD015530_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,18,0,0,0,18,0,0
"CD015532_data",0,47,0,0,0,0,0,0,0,0,0,0,36,0,45,111,111,0,0,0,139,8,0
