dataset,outcome_type,k,total_n,I2,information_fraction,het_adj_power,z_stability_approx,sequential_status,significant,IAI_final,IAI_final_class
CD013105_pub2_data,binary,86,9141,21.2,1.724,0.067,0.66418,futile,FALSE,0.616242088238186,Marginal
CD013111_pub2_data,binary,21,1381,0,0.412,0.734,0.6231,continue,TRUE,0.449184433788429,Inadequate
CD013158_pub2_data,binary,13,2698,15.9,0.737,0.17,0.41678,continue,FALSE,0.329824061346148,Inadequate
CD013166_pub3_data,binary,124,8420,0,0.227,0.24,0.77524,continue,FALSE,0.408704948695698,Inadequate
CD013197_pub2_data,binary,197,22294,19.9,1.947,0.207,0.70894,continue,FALSE,0.52257418713128,Marginal
CD013232_pub2_data,binary,1540,98432,12.5,12.129,1,0.9625,conclusive_benefit,TRUE,0.988749999956897,Adequate
CD013255_pub2_data,binary,141,19364,81.1,2.036,1,0.7567,conclusive_benefit,TRUE,0.904640358420452,Adequate
CD013278_pub3_data,binary,223,37008,65.1,2.868,0.371,0.6025,continue,FALSE,0.536741246099147,Marginal
CD013284_pub2_data,binary,111,14964,0,0.419,0.146,0.75448,continue,FALSE,0.400904812939327,Inadequate
CD013294_pub2_data,binary,77,2958,0,0.04,0.072,0.72994,continue,FALSE,0.360354313263816,Inadequate
CD013295_pub2_data,binary,916,81270,3.6,4.559,1,0.9892,conclusive_harm,TRUE,0.996598054058061,Adequate
CD013303_pub2_data,binary,132,27456,26.1,3.112,0.806,0.79108,conclusive_benefit,TRUE,0.905338253758895,Adequate
CD013329_pub2_data,binary,11,2040,0,,0.032,0.39478,unknown,FALSE,0.398234,Inadequate
CD013331_pub2_data,binary,40,1294,11.6,0.271,0.186,0.64916,continue,FALSE,0.365402682121615,Inadequate
CD013332_pub2_data,binary,67,27169,22.7,1.432,0.985,0.8803,conclusive_harm,TRUE,0.902539138190362,Adequate
CD013342_pub2_data,binary,224,12349,0,0.928,0.642,0.83944,conclusive_benefit,TRUE,0.790944415855118,Adequate
CD013344_pub2_data,binary,97,13019,48,1.533,0.722,0.709,conclusive_harm,TRUE,0.819767096494129,Adequate
CD013353_pub2_data,binary,29,1204,0,,0.025,0.532,unknown,FALSE,0.43835,Inadequate
CD013355_pub2_data,binary,21,5543,27.2,0.499,0.069,0.41502,continue,FALSE,0.293565675853205,Inadequate
CD013358_pub2_data,binary,335,22647,0,0.423,0.058,0.72328,continue,FALSE,0.37863584506246,Inadequate
CD013366_pub2_data,binary,140,26903,15.1,3.45,1,0.9547,conclusive_harm,TRUE,0.984931691731144,Adequate
CD013377_pub2_data,binary,28,5694,63.8,0.35,0.247,0.40916,continue,FALSE,0.307631003391488,Inadequate
CD013396_pub2_data,binary,129,69798,15.2,16.263,0.971,0.88612,conclusive_harm,TRUE,0.961485999999989,Adequate
CD013408_pub2_data,binary,54,42154,47,3.793,0.845,0.73738,conclusive_harm,TRUE,0.89721680241014,Adequate
CD013414_pub2_data,binary,70,66708,78.2,1.726,0.985,0.71338,conclusive_benefit,TRUE,0.873825209021215,Adequate
CD013421_pub2_data,binary,102,12119,77.8,1.163,0.29,0.55108,continue,FALSE,0.429981159625198,Inadequate
CD013425_pub2_data,binary,285,66789,86.7,2.974,0.066,0.46726,futile,FALSE,0.591292386837264,Marginal
CD013429_pub2_data,binary,107,6447,40.1,0.297,1,0.8797,conclusive_benefit,TRUE,0.803283145610177,Adequate
CD013445_pub2_data,binary,553,57839,59,13.845,0.478,0.63724,continue,FALSE,0.567871999998607,Marginal
CD013456_pub2_data,continuous,149,9903,83.5,4.691,1,0.7495,conclusive_harm,TRUE,0.924725606430832,Adequate
CD013462_pub3_data,binary,117,18037,29.9,1.647,0.969,0.83968,conclusive_benefit,TRUE,0.904218692226444,Adequate
CD013468_pub2_data,continuous,33,1470,84.9,0.638,0.986,0.55914,conclusive_harm,TRUE,0.730944552912539,Marginal
CD013474_pub2_data,binary,82,18489,29.1,1.903,0.131,0.66298,futile,FALSE,0.63531954856491,Marginal
CD013476_pub2_data,binary,23,597,0,0.079,0.352,0.57886,continue,FALSE,0.35882098555186,Inadequate
CD013508_pub3_data,binary,122,14661,0,0.13,0.05,0.71878,continue,FALSE,0.357996586906169,Inadequate
CD013539_pub2_data,binary,321,134921,0,82.803,0.199,0.76684,continue,FALSE,0.564902,Marginal
CD013541_pub2_data,binary,191,13389,0,1.719,0.918,0.901,conclusive_harm,TRUE,0.919628949780813,Adequate
CD013561_pub2_data,binary,24,1294,60.2,0.306,0.445,0.42072,continue,FALSE,0.33791144748313,Inadequate
CD013571_pub2_data,binary,65,11711,51.3,1.099,0.228,0.619,continue,FALSE,0.434767782997644,Inadequate
CD013590_pub2_data,binary,132,9781,5.4,0.954,0.276,0.76576,continue,FALSE,0.47153124178951,Inadequate
CD013591_pub2_data,binary,70,14433,0,,0.038,0.71134,unknown,FALSE,0.494102,Inadequate
CD013595_pub2_data,binary,66,33614,77.7,3.014,0.978,0.7051,conclusive_benefit,TRUE,0.904730345705478,Adequate
CD013613_pub2_data,binary,74,4428,0,0.778,0.035,0.70882,futile,FALSE,0.541053652630174,Marginal
CD013614_pub2_data,binary,541,183166,86,8.674,1,0.742,conclusive_benefit,TRUE,0.922599956800552,Adequate
CD013631_pub2_data,binary,116,4737,0,0.145,0.351,0.79468,continue,FALSE,0.426686743153017,Inadequate
CD013643_pub2_data,binary,49,3709,37,0.116,0.824,0.75446,continue,TRUE,0.484096244963792,Inadequate
CD013672_pub2_data,binary,61,10580,73.8,5.001,1,0.7786,conclusive_benefit,TRUE,0.933513063935059,Adequate
