dataset,outcome_type,k,total_n,I2,information_fraction,het_adj_power,z_stability_approx,sequential_status,significant,IAI_final,IAI_final_class
CD000028_pub4_data,binary,163,309371,72.9,9.151,1,0.7813,conclusive_harm,TRUE,0.934389983359694,Adequate
CD000143_pub2_data,binary,80,6010,63.8,1.802,0.999,0.8086,conclusive_harm,TRUE,0.908945339615319,Adequate
CD000219_pub5_data,binary,71,19358,61.9,3.616,0.774,0.67702,conclusive_harm,TRUE,0.868143113032867,Adequate
CD000478_pub5_data,binary,42,1838,8,1.512,0.998,0.90204,conclusive_harm,TRUE,0.917462203662046,Adequate
CD000547_pub3_data,binary,282,32149,59.8,1.984,0.999,0.81862,conclusive_benefit,TRUE,0.920915226239006,Adequate
CD001072_pub2_data,binary,3,96,81.6,0.008,0.058,0.10236,continue,FALSE,0.168586616210786,Critical
CD001155_pub3_data,binary,977,543739,31.6,32.088,1,0.9052,conclusive_harm,TRUE,0.97156,Adequate
CD001321_pub7_data,binary,155,34697,53.8,6.877,1,0.8386,conclusive_harm,TRUE,0.951578428446237,Adequate
CD001396_pub4_data,binary,387,47553,15.2,6.275,1,0.9544,conclusive_benefit,TRUE,0.986314761441042,Adequate
CD001431_pub6_data,binary,1479,403359,77.5,28.699,1,0.7675,conclusive_benefit,TRUE,0.93025,Adequate
CD001533_pub7_data,binary,217,20188,53.1,7.161,1,0.8407,conclusive_harm,TRUE,0.95220910946405,Adequate
CD001552_pub3_data,binary,78,6962,44.4,0.841,0.068,0.59482,futile,FALSE,0.51787864807095,Marginal
CD001703_pub4_data,binary,119,15418,0,1.952,1,1,conclusive_benefit,TRUE,0.97406871544622,Adequate
CD001797_pub4_data,binary,43,2231,31.8,0.274,0.779,0.71234,continue,TRUE,0.473490790978786,Inadequate
CD001837_pub4_data,binary,144,56873,40.6,11.185,1,0.8782,conclusive_benefit,TRUE,0.963459999715258,Adequate
CD001909_pub4_data,binary,133,17596,51.2,1.909,1,0.8464,conclusive_benefit,TRUE,0.925985193959441,Adequate
CD002042_pub6_data,binary,889,495372,93.9,13.234,1,0.7183,conclusive_harm,TRUE,0.915489999995272,Adequate
CD002052_pub4_data,binary,37,2014,15.6,0.362,0.781,0.71336,continue,TRUE,0.479804376259898,Inadequate
CD002112_pub2_data,binary,233,19347,48.6,4.006,0.986,0.80314,conclusive_benefit,TRUE,0.93835335978844,Adequate
CD002115_pub6_data,binary,56,4231,13.7,0.462,0.826,0.8329,continue,TRUE,0.52962274511991,Marginal
CD002122_pub3_data,binary,271,32071,71.8,4.384,0.293,0.56944,continue,FALSE,0.519552265725231,Marginal
CD002203_pub5_data,binary,167,24366,45,3.698,0.111,0.6094,futile,FALSE,0.643567157415871,Marginal
CD002243_pub5_data,binary,1084,381064,44.9,87.31,1,0.8653,conclusive_harm,TRUE,0.95959,Adequate
CD002290_pub6_data,binary,229,14502,66,3.453,1,0.802,conclusive_harm,TRUE,0.939130470046926,Adequate
CD002303_pub4_data,binary,15,3369,86.5,0.274,0.046,0.17688,continue,FALSE,0.202902790978786,Critical
CD002971_pub6_data,binary,73,16870,0,2.023,0.055,0.72148,futile,FALSE,0.646802563317571,Marginal
CD003129_pub2_data,binary,19,2365,0,0.42,0.968,0.6809,conclusive_benefit,TRUE,0.747203457031418,Marginal
CD003214_pub4_data,binary,8,1384,0,0.38,0.114,0.40918,continue,FALSE,0.289741197146185,Inadequate
CD003216_pub3_data,binary,62,10000,14.7,1.356,0.154,0.71242,futile,FALSE,0.615994587198547,Marginal
CD003218_pub3_data,binary,18,689,0,,0.031,0.44934,unknown,FALSE,0.414452,Inadequate
CD003331_pub6_data,binary,155,23319,17.4,5.488,0.995,0.92152,conclusive_harm,TRUE,0.975680721701874,Adequate
CD003333_pub4_data,binary,15,14181,64.2,0.825,0.127,0.2766,futile,FALSE,0.429706484216534,Inadequate
CD003357_pub5_data,binary,34,4970,68.4,0.612,0.968,0.59594,conclusive_benefit,TRUE,0.73701852345214,Marginal
CD003376_pub4_data,binary,276,26456,0.6,2.876,1,0.9982,conclusive_harm,TRUE,0.994873497220224,Adequate
CD003414_pub4_data,binary,135,28371,0,7.785,0.037,0.71068,futile,FALSE,0.663753744345571,Marginal
CD003429_pub5_data,continuous,23,1006,95.5,0.13,0.281,0.28036,continue,FALSE,0.261120586906169,Inadequate
CD003451_pub3_data,binary,83,2986,0,0.036,0.038,0.7114,continue,FALSE,0.349514423033014,Inadequate
CD003477_pub5_data,binary,158,6325,0,,0.302,0.78646,unknown,FALSE,0.556238,Marginal
CD003511_pub6_data,binary,48,8343,0,4.361,0.371,0.7818,continue,FALSE,0.594949464126073,Marginal
CD003519_pub5_data,binary,218,24744,63.6,11.675,1,0.8092,conclusive_benefit,TRUE,0.942759999893133,Adequate
CD003594_pub7_data,binary,171,11591,48.7,2.144,0.322,0.64378,continue,FALSE,0.528009663181337,Marginal
CD003598_pub3_data,continuous,278,31021,85.8,12.618,0.992,0.70432,conclusive_harm,TRUE,0.910095999983791,Adequate
CD003743_pub3_data,binary,35,2735,7.5,0.618,0.04,0.56992,futile,FALSE,0.485531690719865,Inadequate
CD003774_pub5_data,binary,761,95519,50.7,16.893,1,0.8479,conclusive_harm,TRUE,0.954369999999997,Adequate
CD003833_pub5_data,binary,36,1762,0,0.02,0.054,0.609,continue,FALSE,0.320493409513045,Inadequate
CD003962_pub3_data,binary,239,15018,28,1.426,0.17,0.67624,continue,FALSE,0.473569303950059,Inadequate
CD004184_pub3_data,binary,186,33132,0,1.623,0.398,0.80206,continue,FALSE,0.560639334813643,Marginal
CD004307_pub7_data,binary,157,67639,32.8,3.282,1,0.9016,conclusive_benefit,TRUE,0.968417433689426,Adequate
CD004372_pub3_data,binary,4,443,0,,0.035,0.341,unknown,FALSE,0.38255,Inadequate
CD004376_pub4_data,binary,182,18046,32.6,2.791,0.789,0.76798,conclusive_benefit,TRUE,0.893330600279555,Adequate
CD004406_pub6_data,binary,79,22944,53,4.572,0.407,0.64444,continue,FALSE,0.559224207106954,Marginal
CD004417_pub6_data,binary,122,31847,92.8,1.776,0.593,0.55336,conclusive_harm,TRUE,0.769998481256976,Adequate
CD004508_pub5_data,binary,57,7580,23.5,1.008,0.272,0.7108,continue,FALSE,0.45983998293377,Inadequate
CD004661_pub4_data,binary,470,515687,89.3,9.651,0.942,0.6442,conclusive_benefit,TRUE,0.884559993878373,Adequate
CD004667_pub6_data,binary,490,608294,91.6,17.623,0.24,0.50044,continue,FALSE,0.491131999999999,Inadequate
CD004703_pub3_data,binary,117,11363,0,0.288,0.353,0.79492,continue,FALSE,0.43523305511288,Inadequate
CD004736_pub6_data,binary,1366,1201922,85.4,16.689,1,0.7438,conclusive_harm,TRUE,0.923139999999995,Adequate
CD004762_pub3_data,binary,29,1840,0,,0.025,0.53236,unknown,FALSE,0.438458,Inadequate
CD004871_pub5_data,continuous,105,7349,77.2,4.809,1,0.7684,conclusive_harm,TRUE,0.930421743516107,Adequate
CD004904_pub4_data,binary,6,1652,0,0.286,0.03,0.3525,continue,FALSE,0.253932099737314,Inadequate
CD004925_pub4_data,binary,87,14942,61.8,0.956,0.767,0.67582,conclusive_harm,TRUE,0.763398837269505,Adequate
CD004953_pub5_data,binary,163,19729,8.6,7.729,0.546,0.79876,conclusive_harm,TRUE,0.871527714047276,Adequate
CD004992_pub4_data,binary,25,1576,28.8,0.38,0.999,0.7136,conclusive_harm,TRUE,0.758817197146185,Adequate
CD005133_pub4_data,binary,174,15225,40.1,2.321,0.176,0.64156,continue,FALSE,0.510571239901774,Marginal
CD005187_pub6_data,binary,26,26943,32,2.452,0.995,0.68602,conclusive_harm,TRUE,0.894664763469934,Adequate
CD005343_pub7_data,binary,158,35101,41.5,1.9,1,0.8755,conclusive_harm,TRUE,0.934279787019902,Adequate
CD005495_pub5_data,binary,343,44968,0,1.183,0.095,0.73888,futile,FALSE,0.599012416995313,Marginal
CD005566_pub4_data,binary,906,355856,25.9,38.613,1,0.9223,conclusive_harm,TRUE,0.97669,Adequate
CD005582_pub5_data,binary,15,1626,0,0.171,0.283,0.5031,continue,FALSE,0.330386131174525,Inadequate
CD005595_pub4_data,binary,284,36700,0,1.009,0.039,0.71188,futile,FALSE,0.565313975700787,Marginal
CD005951_pub5_data,binary,80,31859,21.3,7.493,0.198,0.70264,continue,FALSE,0.545491541561737,Marginal
CD006023_pub4_data,binary,891,160252,50.7,8.408,0.905,0.74428,conclusive_harm,TRUE,0.909033926460141,Adequate
CD006027_pub3_data,binary,86,9829,56.4,1.478,0.14,0.58354,futile,FALSE,0.585526044830416,Marginal
CD006124_pub3_data,continuous,51,5624,96.2,0.609,0.329,0.50242,continue,FALSE,0.367853800085717,Inadequate
CD006140_pub3_data,binary,106,18129,73,3.049,0.151,0.53662,futile,FALSE,0.625369079225151,Marginal
CD006182_pub3_data,binary,79,11766,39.5,3.042,0.991,0.84028,conclusive_benefit,TRUE,0.947421783456181,Adequate
CD006185_pub6_data,continuous,375,16490,47.6,24.792,1,0.8572,conclusive_benefit,TRUE,0.95716,Adequate
CD006257_pub2_data,binary,544,156748,63.3,6.32,0.279,0.5926,continue,FALSE,0.52462521230681,Marginal
CD006273_pub4_data,binary,5,433,0,,0.316,0.4288,unknown,FALSE,0.45104,Inadequate
CD006404_pub5_data,binary,383,159142,36.8,6.386,0.541,0.71332,conclusive_harm,TRUE,0.845141804335765,Adequate
CD006475_pub3_data,binary,222,51641,17.8,25.489,1,0.9466,conclusive_harm,TRUE,0.98398,Adequate
CD006515_pub2_data,binary,31,1473,0,0.387,0.464,0.66008,continue,FALSE,0.418000457196766,Inadequate
CD006536_pub5_data,binary,956,77584,0,3.421,1,1,conclusive_harm,TRUE,0.998434105722802,Adequate
CD006606_pub5_data,binary,30,8990,84.4,0.859,0.689,0.43398,conclusive_harm,TRUE,0.669536703553989,Marginal
CD006632_pub3_data,binary,122,54348,0,,0.064,0.72634,unknown,FALSE,0.502502,Marginal
CD006689_pub3_data,binary,287,121255,54.6,6.292,0.326,0.6268,continue,FALSE,0.541934936553753,Marginal
CD006712_pub3_data,binary,25,3401,0,,0.031,0.50558,unknown,FALSE,0.431324,Inadequate
CD006714_pub3_data,binary,30,2259,27.1,0.664,0.866,0.64284,conclusive_harm,TRUE,0.740361830418684,Marginal
CD006742_pub3_data,binary,17,48142,84.2,0.218,0.069,0.2122,continue,FALSE,0.213624684424556,Critical
CD006839_pub5_data,binary,16,1097,0,0.846,0.076,0.45944,futile,FALSE,0.478952598219449,Inadequate
CD006913_pub3_data,continuous,748,58833,54.6,76.51,1,0.8362,conclusive_benefit,TRUE,0.95086,Adequate
CD006919_pub5_data,binary,163,16265,1.8,2.951,0.45,0.80464,continue,FALSE,0.609931710054959,Marginal
CD006942_pub4_data,binary,33,7269,28,1.138,0.116,0.52584,futile,FALSE,0.533865059815541,Marginal
CD006982_pub5_data,binary,25,2522,0,0.379,0.216,0.57038,continue,FALSE,0.35333160973134,Inadequate
CD007024_pub3_data,binary,137,9262,1,2.618,0.842,0.87466,conclusive_benefit,TRUE,0.931131354172856,Adequate
CD007026_pub7_data,binary,56,15553,2.7,2.886,0.255,0.7699,continue,FALSE,0.569722273668708,Marginal
CD007079_pub4_data,binary,159,241016,4.4,33.457,0.887,0.87694,conclusive_harm,TRUE,0.946132,Adequate
CD007110_pub4_data,binary,63,25666,0,0.053,0.065,0.72652,continue,FALSE,0.35886381286872,Inadequate
CD007130_pub5_data,binary,137,14770,5.6,3.871,0.349,0.77758,continue,FALSE,0.589984383079053,Marginal
CD007156_pub3_data,binary,77,5474,18.5,0.517,0.98,0.88558,conclusive_harm,TRUE,0.81780970091532,Adequate
CD007310_pub3_data,binary,201,30689,72.2,3.696,0.194,0.54928,continue,FALSE,0.497977555213471,Inadequate
CD007374_pub3_data,binary,96,10265,24.1,0.811,0.27,0.70864,continue,FALSE,0.439413872633461,Inadequate
CD007388_pub3_data,binary,114,25422,0,5.126,0.339,0.79276,continue,FALSE,0.593625866280696,Marginal
CD007491_pub3_data,binary,20,4950,0,,0.054,0.48136,unknown,FALSE,0.427508,Inadequate
CD007569_pub4_data,binary,26,2152,0,0.564,0.159,0.56572,futile,FALSE,0.497533662817148,Inadequate
CD007572_pub4_data,binary,71,16969,35,11.759,1,0.895,conclusive_harm,TRUE,0.96849999990966,Adequate
CD007639_pub3_data,continuous,103,8139,95.5,1.04,0.715,0.56518,conclusive_benefit,TRUE,0.730801868031116,Marginal
CD007674_pub3_data,binary,334,21335,39.4,3.221,1,0.8818,conclusive_benefit,TRUE,0.962212921189512,Adequate
CD007784_pub3_data,binary,934,591755,24.9,81.359,1,0.9253,conclusive_harm,TRUE,0.97759,Adequate
CD007809_pub3_data,continuous,78,8832,23.4,19.387,0.994,0.89866,conclusive_benefit,TRUE,0.968698,Adequate
CD007837_pub3_data,continuous,44,1981,94,0.338,0.081,0.40348,continue,FALSE,0.280224713501592,Inadequate
CD007859_pub5_data,binary,165,9645,0,0.141,0.154,0.75652,continue,FALSE,0.385481791137404,Inadequate
CD007872_pub4_data,binary,40,309184,73.9,9.213,0.05,0.41744,futile,FALSE,0.577731985300289,Marginal
CD007895_pub3_data,binary,15,2662,0,0.014,0.046,0.4368,continue,FALSE,0.267374845862862,Inadequate
CD007896_pub4_data,binary,1526,295806,0,2.291,1,1,conclusive_benefit,TRUE,0.985938821490509,Adequate
CD008063_pub3_data,binary,179,31282,0,,0.03,0.70432,unknown,FALSE,0.490796,Inadequate
CD008145_pub4_data,binary,85,128504,0,,0.052,0.71986,unknown,FALSE,0.498758,Inadequate
CD008165_pub5_data,binary,47,12217,78.8,1.406,0.89,0.6307,conclusive_harm,TRUE,0.811217105669991,Adequate
CD008176_pub3_data,binary,891,165889,13.2,14.976,0.923,0.86362,conclusive_harm,TRUE,0.947535999999855,Adequate
CD008237_pub4_data,binary,25,2143,59.7,0.71,0.78,0.48482,conclusive_benefit,TRUE,0.684232518733037,Marginal
CD008309_pub3_data,binary,160,10451,24.1,1.54,0.845,0.80614,conclusive_harm,TRUE,0.867890796667533,Adequate
CD008349_pub5_data,binary,588,22866,0,,0.075,0.73138,unknown,FALSE,0.505664,Marginal
CD008493_pub5_data,binary,118,113844,14.8,12.37,0.375,0.75406,continue,FALSE,0.587467999973382,Marginal
CD008552_pub8_data,binary,226,52294,0,,0.286,0.78376,unknown,FALSE,0.553028,Marginal
CD008564_pub3_data,binary,281,219933,50,21.189,0.45,0.66004,continue,FALSE,0.570512,Marginal
CD008628_pub3_data,binary,68,5810,47.4,0.544,0.698,0.70654,continue,TRUE,0.478980149958827,Inadequate
CD008688_pub3_data,binary,19,3975,0,1.269,0.046,0.46868,futile,FALSE,0.51877340884683,Marginal
CD008709_pub4_data,binary,353,49183,13.6,22.173,0.989,0.91414,conclusive_harm,TRUE,0.972592,Adequate
CD008771_pub3_data,binary,42,2770,0,0.04,0.067,0.66366,continue,FALSE,0.339720313263816,Inadequate
CD008858_pub5_data,binary,157,1252708,99,0.657,1,0.703,conclusive_benefit,TRUE,0.777884696618441,Adequate
CD008873_pub5_data,binary,58,30156,11.9,2.043,0.641,0.80362,conclusive_harm,TRUE,0.865142997532097,Adequate
CD008879_pub3_data,binary,48,4969,22.5,1.524,0.882,0.80514,conclusive_harm,TRUE,0.871920131876758,Adequate
