dataset,outcome_type,k,total_n,avg_n_per_study,p_control,effect_logOR,se,pval,I2,tau2,OIS,information_fraction,het_adj_power,z_score,sequential_status,IAI,IAI_class,significant
CD003218_pub3_data,binary,18,689,38.3,0,0.0424,0.4783,0.92933565460992,0,0,,,0.031,0.089,unknown,0.3592,Inadequate,FALSE
CD003331_pub6_data,binary,155,23319,150.4,0.1709,-0.3151,0.0691,5.07028135275589e-06,17.4,0.0693,4249,5.488,0.995,-4.562,conclusive_harm,0.9486,Adequate,TRUE
CD003333_pub4_data,binary,15,14181,945.4,0.1045,0.0963,0.1174,0.412036933944122,64.2,0.0992,17181,0.825,0.127,0.82,futile,0.3936,Inadequate,FALSE
CD003357_pub5_data,binary,34,4970,146.2,0.2212,0.5962,0.1561,0.000134093431709121,68.4,0.4508,8116,0.612,0.968,3.819,conclusive_benefit,0.6667,Marginal,TRUE
CD003376_pub4_data,binary,276,26456,95.9,0.0725,-0.3015,0.0536,1.89985605556085e-08,0.6,0.0048,9197,2.876,1,-5.621,conclusive_harm,0.9408,Adequate,TRUE
CD003414_pub4_data,binary,135,28371,210.2,0.1655,0.0063,0.0354,0.859069370879787,0,0,3644,7.785,0.037,0.178,futile,0.6012,Marginal,FALSE
CD003429_pub5_data,continuous,23,1006,43.7,,0.4745,0.3436,0.167226241727509,95.5,2.5656,7755,0.13,0.281,1.381,continue,0.2541,Inadequate,FALSE
CD003451_pub3_data,binary,83,2986,36,0.0085,0.0391,0.2061,0.849469635331079,0,0,82824,0.036,0.038,0.19,continue,0.1723,Critical,FALSE
CD003477_pub5_data,binary,158,6325,40,0,0.2334,0.162,0.149604658708092,0,0,,,0.302,1.441,unknown,0.4406,Inadequate,FALSE
CD003511_pub6_data,binary,48,8343,173.8,0.2778,-0.0919,0.0564,0.103049661518128,0,0,1913,4.361,0.371,-1.63,continue,0.6208,Marginal,FALSE
CD003519_pub5_data,binary,218,24744,113.5,0.5033,0.8907,0.0563,2.75150842502849e-56,63.6,0.3651,2119,11.675,1,15.808,conclusive_benefit,0.95,Adequate,TRUE
CD003594_pub7_data,binary,171,11591,67.8,0.2078,0.135,0.0901,0.134120653106702,48.7,0.4896,5406,2.144,0.322,1.498,continue,0.5698,Marginal,FALSE
CD003598_pub3_data,continuous,278,31021,111.6,,-0.147,0.0337,1.2893729569259e-05,85.8,0.2398,2458,12.618,0.992,-4.362,conclusive_harm,0.9476,Adequate,TRUE
CD003743_pub3_data,binary,35,2735,78.1,0.1499,-0.0278,0.1348,0.836272821121711,7.5,0.0459,4426,0.618,0.04,-0.207,futile,0.329,Inadequate,FALSE
CD003774_pub5_data,binary,761,95519,125.5,0.207,-0.7581,0.0344,1.13773404256945e-107,50.7,0.3378,5654,16.893,1,-22.042,conclusive_harm,0.95,Adequate,TRUE
CD003833_pub5_data,binary,36,1762,48.9,0.008,-0.1078,0.3083,0.726628159461158,0,0,87519,0.02,0.054,-0.35,continue,0.1755,Critical,FALSE
CD003962_pub3_data,binary,239,15018,62.8,0.0863,0.1025,0.102,0.315156383437478,28,0.5034,10533,1.426,0.17,1.004,continue,0.4413,Inadequate,FALSE
CD004184_pub3_data,binary,186,33132,178.1,0.0337,-0.1174,0.069,0.0889860468426105,0,0,20415,1.623,0.398,-1.701,continue,0.54,Marginal,FALSE
CD004307_pub7_data,binary,157,67639,430.8,0.049,0.6015,0.0572,7.06812078808468e-26,32.8,0.1087,20612,3.282,1,10.519,conclusive_benefit,0.9459,Adequate,TRUE
CD004372_pub3_data,binary,4,443,110.8,0,0.1505,1.0058,0.881070340784682,0,0,,,0.035,0.15,unknown,0.3605,Inadequate,FALSE
CD004376_pub4_data,binary,182,18046,99.2,0.1419,0.1872,0.0678,0.00572596898448642,32.6,0.2038,6465,2.791,0.789,2.763,conclusive_benefit,0.8759,Adequate,TRUE
CD004406_pub6_data,binary,79,22944,290.4,0.2366,-0.0983,0.057,0.0846657731521602,53,0.1107,5018,4.572,0.407,-1.724,continue,0.6317,Marginal,FALSE
CD004417_pub6_data,binary,122,31847,261,0.3689,-0.3548,0.1616,0.0280969784443929,92.8,2.5019,17933,1.776,0.593,-2.196,conclusive_harm,0.758,Adequate,TRUE
CD004508_pub5_data,binary,57,7580,133,0.111,-0.1557,0.1149,0.175552690645119,23.5,0.1346,7516,1.008,0.272,-1.355,continue,0.3934,Inadequate,FALSE
CD004661_pub4_data,binary,470,515687,1097.2,0.1112,0.1299,0.0367,0.000407353537212657,89.3,0.4049,53433,9.651,0.942,3.535,conclusive_benefit,0.9327,Adequate,TRUE
CD004667_pub6_data,binary,490,608294,1241.4,0.2,0.0389,0.031,0.209878747317056,91.6,0.3445,34517,17.623,0.24,1.254,continue,0.582,Marginal,FALSE
CD004703_pub3_data,binary,117,11363,97.1,0.0177,-0.2157,0.1364,0.113734650682517,0,0,39426,0.288,0.353,-1.582,continue,0.2934,Inadequate,FALSE
CD004736_pub6_data,binary,1366,1201922,879.9,0.0638,-0.5764,0.0319,3.51351504120455e-73,85.4,0.6779,72017,16.689,1,-18.095,conclusive_harm,0.95,Adequate,TRUE
CD004762_pub3_data,binary,29,1840,63.4,0,0.0023,0.3748,0.995097755523729,0,0,,,0.025,0.006,unknown,0.3576,Inadequate,FALSE
CD004871_pub5_data,continuous,105,7349,70,,-0.4435,0.0532,8.19399525022269e-17,77.2,0.2038,1528,4.809,1,-8.328,conclusive_harm,0.9498,Adequate,TRUE
CD004904_pub4_data,binary,6,1652,275.3,0.1106,-0.0156,0.2091,0.94038314418445,0,0,5773,0.286,0.03,-0.075,continue,0.1963,Critical,FALSE
CD004925_pub4_data,binary,87,14942,171.7,0.1072,-0.3659,0.1362,0.0072020287597161,61.8,0.7354,15638,0.956,0.767,-2.687,conclusive_harm,0.6711,Marginal,TRUE
CD004953_pub5_data,binary,163,19729,121,0.2386,-0.0962,0.0463,0.0378526090454042,8.6,0.0258,2552,7.729,0.546,-2.076,conclusive_harm,0.8139,Adequate,TRUE
CD004992_pub4_data,binary,25,1576,63,0.1972,-1.2128,0.2422,5.50095077220817e-07,28.8,0.3479,4151,0.38,0.999,-5.008,conclusive_harm,0.6394,Marginal,TRUE
CD005133_pub4_data,binary,174,15225,87.5,0.1553,0.0798,0.0774,0.302670470505116,40.1,0.3189,6560,2.321,0.176,1.031,continue,0.5363,Marginal,FALSE
CD005187_pub6_data,binary,26,26943,1036.3,0.0874,-0.3,0.0657,4.95380118958127e-06,32,0.0288,10990,2.452,0.995,-4.567,conclusive_harm,0.9278,Adequate,TRUE
CD005343_pub7_data,binary,158,35101,222.2,0.062,-0.6127,0.1163,1.37736270521806e-07,41.5,0.4463,18472,1.9,1,-5.268,conclusive_harm,0.8931,Adequate,TRUE
CD005495_pub5_data,binary,343,44968,131.1,0.0184,-0.0428,0.066,0.516919832152877,0,0,38012,1.183,0.095,-0.648,futile,0.4546,Inadequate,FALSE
CD005566_pub4_data,binary,906,355856,392.8,0.095,-0.181,0.0255,1.15455633698578e-12,25.9,0.0503,9216,38.613,1,-7.111,conclusive_harm,0.95,Adequate,TRUE
CD005582_pub5_data,binary,15,1626,108.4,0.0699,0.2613,0.1886,0.165903721310113,0,0,9514,0.171,0.283,1.385,continue,0.2588,Inadequate,FALSE
CD005595_pub4_data,binary,284,36700,129.2,0.0192,0.015,0.0755,0.842999950006342,0,0,36389,1.009,0.039,0.198,futile,0.4034,Inadequate,FALSE
CD005951_pub5_data,binary,80,31859,398.2,0.178,-0.0591,0.0532,0.267244304949195,21.3,0.0283,4252,7.493,0.198,-1.109,continue,0.5693,Marginal,FALSE
CD006023_pub4_data,binary,891,160252,179.9,0.0706,-0.1545,0.0472,0.00106399936237355,50.7,0.4863,19059,8.408,0.905,-3.273,conclusive_harm,0.9216,Adequate,TRUE
CD006027_pub3_data,binary,86,9829,114.3,0.2003,-0.1014,0.1154,0.379506542403288,56.4,0.4799,6652,1.478,0.14,-0.879,futile,0.5208,Marginal,FALSE
CD006124_pub3_data,continuous,51,5624,110.3,,-0.2225,0.1466,0.129151040344011,96.2,1.0357,9242,0.609,0.329,-1.517,continue,0.3342,Inadequate,FALSE
CD006140_pub3_data,binary,106,18129,171,0.3159,-0.1013,0.1093,0.353903918955165,73,0.6446,5945,3.049,0.151,-0.927,futile,0.6287,Marginal,FALSE
CD006182_pub3_data,binary,79,11766,148.9,0.238,0.3043,0.0705,1.60771191290205e-05,39.5,0.1206,3868,3.042,0.991,4.313,conclusive_benefit,0.9406,Adequate,TRUE
CD006185_pub6_data,continuous,375,16490,44,,0.1772,0.023,1.42254391830321e-14,47.6,0.0863,665,24.792,1,7.694,conclusive_benefit,0.95,Adequate,TRUE
CD006257_pub2_data,binary,544,156748,288.1,0.0728,-0.07,0.0509,0.169086075104716,63.3,0.4349,24803,6.32,0.279,-1.375,continue,0.5938,Marginal,FALSE
CD006273_pub4_data,binary,5,433,86.6,0,1.1856,0.8009,0.138809469505833,0,0,,,0.316,1.48,unknown,0.4447,Inadequate,FALSE
CD006404_pub5_data,binary,383,159142,415.5,0.0433,-0.0972,0.0471,0.0391939563842632,36.8,0.1789,24919,6.386,0.541,-2.062,conclusive_harm,0.8122,Adequate,TRUE
CD006475_pub3_data,binary,222,51641,232.6,0.3076,-0.1994,0.0243,2.08201321694415e-16,17.8,0.0205,2026,25.489,1,-8.217,conclusive_harm,0.95,Adequate,TRUE
CD006515_pub2_data,binary,31,1473,47.5,0.1597,-0.3113,0.1666,0.0616929429964164,0,0,3802,0.387,0.464,-1.868,continue,0.3399,Inadequate,FALSE
CD006536_pub5_data,binary,956,77584,81.2,0.0304,-0.2527,0.043,4.01952097301493e-09,0,0,22679,3.421,1,-5.883,conclusive_harm,0.9469,Adequate,TRUE
CD006606_pub5_data,binary,30,8990,299.7,0.3118,-0.3931,0.1603,0.0141766141033574,84.4,0.5102,10468,0.859,0.689,-2.453,conclusive_harm,0.6286,Marginal,TRUE
CD006632_pub3_data,binary,122,54348,445.5,0,-0.0797,0.1817,0.6609680680396,0,0,,,0.064,-0.439,unknown,0.3692,Inadequate,FALSE
CD006689_pub3_data,binary,287,121255,422.5,0.0755,-0.0725,0.048,0.130983549739721,54.6,0.2306,19273,6.292,0.326,-1.51,continue,0.6079,Marginal,FALSE
CD006712_pub3_data,binary,25,3401,136,0,0.0373,0.4018,0.926032526133716,0,0,,,0.031,0.093,unknown,0.3593,Inadequate,FALSE
CD006714_pub3_data,binary,30,2259,75.3,0.2274,-0.9852,0.321,0.00214977601095518,27.1,0.7756,3400,0.664,0.866,-3.069,conclusive_harm,0.6452,Marginal,TRUE
CD006742_pub3_data,binary,17,48142,2831.9,0.02,0.1121,0.2338,0.631554506739477,84.2,0.4589,220677,0.218,0.069,0.48,continue,0.2001,Critical,FALSE
CD006839_pub5_data,binary,16,1097,68.6,0.3664,-0.0968,0.1847,0.60026377697164,0,0,1296,0.846,0.076,-0.524,futile,0.3822,Inadequate,FALSE
CD006913_pub3_data,continuous,748,58833,78.7,,0.1161,0.0131,6.60735047266502e-19,54.6,0.0626,769,76.51,1,8.881,conclusive_benefit,0.95,Adequate,TRUE
CD006919_pub5_data,binary,163,16265,99.8,0.1172,0.1004,0.0547,0.0666242313944068,1.8,0.0086,5511,2.951,0.45,1.834,continue,0.6371,Marginal,FALSE
CD006942_pub4_data,binary,33,7269,220.3,0.1354,-0.0744,0.0974,0.44483793171794,28,0.0739,6388,1.138,0.116,-0.764,futile,0.4522,Inadequate,FALSE
CD006982_pub5_data,binary,25,2522,100.9,0.0971,-0.2246,0.1914,0.240661238551059,0,0,6663,0.379,0.216,-1.173,continue,0.2643,Inadequate,FALSE
CD007024_pub3_data,binary,137,9262,67.6,0.1712,0.1821,0.0615,0.0030684411842939,1,0.0049,3538,2.618,0.842,2.961,conclusive_benefit,0.8873,Adequate,TRUE
CD007026_pub7_data,binary,56,15553,277.7,0.1205,-0.0791,0.0609,0.193619330917747,2.7,0.0054,5389,2.886,0.255,-1.3,continue,0.5774,Marginal,FALSE
CD007079_pub4_data,binary,159,241016,1515.8,0.0943,-0.0589,0.0186,0.00153159917199773,4.4,0.0021,7204,33.457,0.887,-3.169,conclusive_harm,0.916,Adequate,TRUE
CD007110_pub4_data,binary,63,25666,407.4,0.0015,0.0945,0.2136,0.658222423965674,0,0,485838,0.053,0.065,0.442,continue,0.1817,Critical,FALSE
CD007130_pub5_data,binary,137,14770,107.8,0.1672,0.156,0.0992,0.115760085987424,5.6,0.0642,3816,3.871,0.349,1.573,continue,0.6135,Marginal,FALSE
CD007156_pub3_data,binary,77,5474,71.1,0.0765,-0.7758,0.1931,5.86201065223206e-05,18.5,0.3848,10589,0.517,0.98,-4.018,conclusive_harm,0.6543,Marginal,TRUE
CD007310_pub3_data,binary,201,30689,152.7,0.2407,0.1049,0.0955,0.271988070908083,72.2,0.9263,8303,3.696,0.194,1.098,continue,0.5665,Marginal,FALSE
CD007374_pub3_data,binary,96,10265,106.9,0.0692,0.186,0.138,0.177494997831567,24.1,0.3055,12660,0.811,0.27,1.349,continue,0.3537,Inadequate,FALSE
CD007388_pub3_data,binary,114,25422,223,0.1267,-0.0738,0.0478,0.122219896270909,0,0,4959,5.126,0.339,-1.546,continue,0.6117,Marginal,FALSE
CD007491_pub3_data,binary,20,4950,247.5,0,-0.1597,0.449,0.721988207923278,0,0,,,0.054,-0.356,unknown,0.3663,Inadequate,FALSE
CD007569_pub4_data,binary,26,2152,82.8,0.1591,0.1843,0.1916,0.336157732400142,0,0,3817,0.564,0.159,0.962,futile,0.3556,Inadequate,FALSE
CD007572_pub4_data,binary,71,16969,239,0.4499,-0.6869,0.0694,4.01247378166706e-23,35,0.0997,1443,11.759,1,-9.904,conclusive_harm,0.95,Adequate,TRUE
CD007639_pub3_data,continuous,103,8139,79,,0.2882,0.114,0.0114803708996006,95.5,1.1763,7826,1.04,0.715,2.528,conclusive_benefit,0.6725,Marginal,TRUE
CD007674_pub3_data,binary,334,21335,63.9,0.1524,0.5168,0.0713,4.20590109454397e-13,39.4,0.4539,6624,3.221,1,7.249,conclusive_benefit,0.9453,Adequate,TRUE
CD007784_pub3_data,binary,934,591755,633.6,0.1162,-0.2998,0.0185,3.81941732589817e-59,24.9,0.0255,7273,81.359,1,-16.217,conclusive_harm,0.95,Adequate,TRUE
CD007809_pub3_data,continuous,78,8832,113.2,,0.1106,0.0247,7.41608806869645e-06,23.4,0.0109,456,19.387,0.994,4.481,conclusive_benefit,0.9482,Adequate,TRUE
CD007837_pub3_data,continuous,44,1981,45,,0.1146,0.2052,0.576571380349187,94,1.704,5860,0.338,0.081,0.558,continue,0.2182,Critical,FALSE
CD007859_pub5_data,binary,165,9645,58.5,0.0103,0.1237,0.1313,0.346029675884296,0,0,68420,0.141,0.154,0.942,continue,0.2172,Critical,FALSE
CD007872_pub4_data,binary,40,309184,7729.6,0.0754,-0.0193,0.0605,0.749791217642185,73.9,0.0496,33561,9.213,0.05,-0.319,futile,0.6051,Marginal,FALSE
CD007895_pub3_data,binary,15,2662,177.5,0.0038,0.1208,0.4318,0.779709017727679,0,0,186198,0.014,0.046,0.28,continue,0.1728,Critical,FALSE
CD007896_pub4_data,binary,1526,295806,193.8,0.0055,0.3685,0.0368,1.45211367818565e-23,0,0,129090,2.291,1,10.005,conclusive_benefit,0.9219,Adequate,TRUE
CD008063_pub3_data,binary,179,31282,174.8,0,0.0109,0.1502,0.94235000385208,0,0,,,0.03,0.072,unknown,0.3589,Inadequate,FALSE
CD008145_pub4_data,binary,85,128504,1511.8,0,-0.0718,0.2171,0.740969760175535,0,0,,,0.052,-0.331,unknown,0.3655,Inadequate,FALSE
CD008165_pub5_data,binary,47,12217,259.9,0.2862,-0.5411,0.1699,0.00144974187743103,78.8,0.5435,8691,1.406,0.89,-3.185,conclusive_harm,0.7939,Adequate,TRUE
CD008176_pub3_data,binary,891,165889,186.2,0.0691,-0.0997,0.0294,0.000705864185518863,13.2,0.0609,11077,14.976,0.923,-3.387,conclusive_harm,0.927,Adequate,TRUE
CD008237_pub4_data,binary,25,2143,85.7,0.3821,0.6283,0.23,0.00629946762730748,59.7,0.5351,3017,0.71,0.78,2.732,conclusive_benefit,0.6276,Marginal,TRUE
CD008309_pub3_data,binary,160,10451,65.3,0.1225,-0.2862,0.0962,0.00293630034835508,24.1,0.2901,6785,1.54,0.845,-2.974,conclusive_harm,0.8021,Adequate,TRUE
CD008349_pub5_data,binary,588,22866,38.9,0,-0.0439,0.0841,0.60130731799606,0,0,,,0.075,-0.523,unknown,0.3726,Inadequate,FALSE
CD008493_pub5_data,binary,118,113844,964.8,0.0836,-0.0494,0.0301,0.100701193632001,14.8,0.0114,9203,12.37,0.375,-1.641,continue,0.6225,Marginal,FALSE
CD008552_pub8_data,binary,226,52294,231.4,0,-0.1868,0.1339,0.162863035255028,0,0,,,0.286,-1.396,unknown,0.4359,Inadequate,FALSE
CD008564_pub3_data,binary,281,219933,782.7,0.1216,-0.0448,0.0244,0.0666726501628817,50,0.0634,10380,21.189,0.45,-1.834,continue,0.6449,Marginal,FALSE
CD008628_pub3_data,binary,68,5810,85.4,0.1133,0.4737,0.1911,0.013165598505076,47.4,0.9395,10677,0.544,0.698,2.479,continue,0.4341,Inadequate,TRUE
CD008688_pub3_data,binary,19,3975,209.2,0.188,0.0276,0.099,0.78066122903689,0,0,3132,1.269,0.046,0.278,futile,0.4565,Inadequate,FALSE
CD008709_pub4_data,binary,353,49183,139.3,0.2774,-0.1869,0.044,2.14299138168954e-05,13.6,0.0779,2218,22.173,0.989,-4.249,conclusive_harm,0.9467,Adequate,TRUE
CD008771_pub3_data,binary,42,2770,66,0.0101,-0.1306,0.2831,0.644453388920094,0,0,69887,0.04,0.067,-0.461,continue,0.1812,Critical,FALSE
CD008858_pub5_data,binary,157,1252708,7979,0.036,0.7775,0.1166,2.61159856437292e-11,99,1.6332,1905766,0.657,1,6.667,conclusive_benefit,0.684,Marginal,TRUE
CD008873_pub5_data,binary,58,30156,519.9,0.052,-0.2075,0.0894,0.0202365621075507,11.9,0.0405,14762,2.043,0.641,-2.322,conclusive_harm,0.7982,Adequate,TRUE
CD008879_pub3_data,binary,48,4969,103.5,0.2241,-0.3008,0.0957,0.00166913122686034,22.5,0.0875,3260,1.524,0.882,-3.144,conclusive_harm,0.8107,Adequate,TRUE
CD008940_pub4_data,binary,189,14637,77.4,0.2668,0.0309,0.0509,0.543597917447989,0,0,2018,7.251,0.088,0.607,futile,0.6164,Marginal,FALSE
CD008973_pub3_data,binary,62,5629,90.8,0.1947,1.6272,0.1459,6.8257410381946e-29,65.4,0.6802,8681,0.648,1,11.154,conclusive_benefit,0.6824,Marginal,TRUE
CD008995_pub3_data,binary,5,715,143,0.4611,-0.2383,0.2146,0.266759162421655,24.3,0.0546,1188,0.602,0.198,-1.111,continue,0.2937,Inadequate,FALSE
CD009022_pub4_data,binary,71,8453,119.1,0.009,0.3596,0.1752,0.0400898304208385,0,0,78319,0.108,0.537,2.053,continue,0.3286,Inadequate,TRUE
CD009102_pub2_data,binary,29,7324,252.6,0.1621,-0.2005,0.1032,0.0520986463505581,26.4,0.0678,5074,1.444,0.493,-1.942,continue,0.5412,Marginal,FALSE
CD009235_pub4_data,binary,831,72116,86.8,0.0412,-0.2485,0.0392,2.27472804494262e-10,0,0,16559,4.355,1,-6.342,conclusive_harm,0.9495,Adequate,TRUE
CD009244_pub3_data,binary,27,6097,225.8,0.0766,-0.0336,0.1857,0.856217974291378,50.5,0.4163,17412,0.35,0.038,-0.181,continue,0.207,Critical,FALSE
CD009252_pub2_data,binary,96,9435,98.3,0.1187,0.2744,0.1233,0.0261181896531558,16.3,0.1626,6377,1.48,0.604,2.224,conclusive_benefit,0.7205,Marginal,TRUE
CD009298_pub3_data,binary,322,40028,124.3,0.1475,-0.1283,0.0335,0.000131049933855028,0,0,4169,9.602,0.969,-3.824,conclusive_harm,0.9407,Adequate,TRUE
CD009362_pub4_data,binary,132,32521,246.4,0.088,-0.5176,0.0931,2.74870131081734e-08,60.8,0.5456,18941,1.717,1,-5.557,conclusive_harm,0.873,Adequate,TRUE
CD009417_pub3_data,binary,38,3183,83.8,0.1462,0.2115,0.1428,0.138387566071558,11.4,0.0801,4754,0.67,0.316,1.482,continue,0.3411,Inadequate,FALSE
CD009508_pub2_data,binary,78,5827,74.7,0.2385,0.4243,0.1206,0.000432446046870756,1.8,0.0205,2378,2.45,0.941,3.519,conclusive_benefit,0.9113,Adequate,TRUE
CD009531_pub3_data,binary,135,15257,113,0.1017,-0.0853,0.0823,0.300102305709353,7.7,0.0519,6863,2.223,0.178,-1.036,continue,0.5315,Marginal,FALSE
CD009535_pub3_data,binary,84,137360,1635.2,0.1637,0.0907,0.112,0.418051255134649,65.2,0.1817,10599,12.96,0.125,0.81,futile,0.6275,Marginal,FALSE
CD009609_pub3_data,binary,12,4004,333.7,0.1332,-0.6562,0.173,0.000149338892480159,18.4,0.0583,5739,0.698,0.967,-3.792,conclusive_harm,0.6813,Marginal,TRUE
CD009679_pub3_data,binary,176,11908,67.7,0.0651,-0.1126,0.0996,0.258304246798103,7.9,0.1265,11133,1.07,0.203,-1.13,continue,0.3849,Inadequate,FALSE
CD009730_pub3_data,binary,158,11621,73.6,0.0508,-0.1107,0.0938,0.237579967424724,0,0,13336,0.871,0.218,-1.181,continue,0.3498,Inadequate,FALSE
CD009749_pub3_data,binary,124,13554,109.3,0.0975,0.295,0.0627,2.57399318010219e-06,3.6,0.0167,6888,1.968,0.997,4.702,conclusive_benefit,0.8986,Adequate,TRUE
CD009752_pub3_data,binary,80,6988,87.3,0.0907,-0.1601,0.1071,0.135131856278965,0,0,7176,0.974,0.321,-1.494,continue,0.401,Inadequate,FALSE
CD009788_pub3_data,binary,32,5112,159.8,0.0987,-0.0679,0.2396,0.776948186953217,40.5,0.4363,11012,0.464,0.047,-0.283,continue,0.2261,Critical,FALSE
CD009945_pub3_data,binary,7,410,58.6,0.2267,0.6837,0.3108,0.0277987533896275,0,0,2489,0.165,0.595,2.2,continue,0.3518,Inadequate,TRUE
CD010001_pub4_data,binary,243,22721,93.5,0.1254,0.5364,0.0539,2.35900131287336e-23,26.5,0.1534,6827,3.328,1,9.957,conclusive_benefit,0.9462,Adequate,TRUE
