dataset,IAI,IAI_class,IAI_empirical,IAI_empirical_class
CD004661_pub4_data,0.9327,Adequate,0.841299993878373,Adequate
CD004667_pub6_data,0.582,Marginal,0.490999999999999,Inadequate
CD004703_pub3_data,0.2934,Inadequate,0.34675705511288,Inadequate
CD004736_pub6_data,0.95,Adequate,0.849999999999995,Adequate
CD004762_pub3_data,0.3576,Inadequate,0.42875,Inadequate
CD004871_pub5_data,0.9498,Adequate,0.849901743516107,Adequate
CD004904_pub4_data,0.1963,Critical,0.298182099737314,Inadequate
CD004925_pub4_data,0.6711,Marginal,0.710652837269505,Marginal
CD004953_pub5_data,0.8139,Adequate,0.781899714047277,Adequate
CD004992_pub4_data,0.6394,Marginal,0.694737197146185,Marginal
CD005133_pub4_data,0.5363,Marginal,0.468103239901773,Inadequate
CD005187_pub6_data,0.9278,Adequate,0.838858763469934,Adequate
CD005343_pub7_data,0.8931,Adequate,0.821629787019903,Adequate
CD005495_pub5_data,0.4546,Inadequate,0.527348416995313,Marginal
CD005566_pub4_data,0.95,Adequate,0.85,Adequate
CD005582_pub5_data,0.2588,Inadequate,0.329456131174525,Inadequate
CD005595_pub4_data,0.4034,Inadequate,0.501749975700787,Marginal
CD005951_pub5_data,0.5693,Marginal,0.484699541561737,Inadequate
CD006023_pub4_data,0.9216,Adequate,0.835749926460141,Adequate
CD006027_pub3_data,0.5208,Marginal,0.560464044830416,Marginal
CD006124_pub3_data,0.3342,Inadequate,0.367127800085717,Inadequate
CD006140_pub3_data,0.6287,Marginal,0.614383079225151,Marginal
CD006182_pub3_data,0.9406,Adequate,0.845337783456181,Adequate
CD006185_pub6_data,0.95,Adequate,0.85,Adequate
CD006257_pub2_data,0.5938,Marginal,0.49684521230681,Inadequate
CD006273_pub4_data,0.4447,Inadequate,0.4724,Inadequate
CD006404_pub5_data,0.8122,Adequate,0.781145804335765,Adequate
CD006475_pub3_data,0.95,Adequate,0.85,Adequate
CD006515_pub2_data,0.3399,Inadequate,0.369976457196766,Inadequate
CD006536_pub5_data,0.9469,Adequate,0.848434105722802,Adequate
CD006606_pub5_data,0.6286,Marginal,0.689342703553989,Marginal
CD006632_pub3_data,0.3692,Inadequate,0.4346,Inadequate
CD006689_pub3_data,0.6079,Marginal,0.503894936553753,Marginal
CD006712_pub3_data,0.3593,Inadequate,0.42965,Inadequate
CD006714_pub3_data,0.6452,Marginal,0.697509830418684,Marginal
CD006742_pub3_data,0.2001,Critical,0.299964684424556,Inadequate
CD006839_pub5_data,0.3822,Inadequate,0.491120598219449,Inadequate
CD006913_pub3_data,0.95,Adequate,0.85,Adequate
CD006919_pub5_data,0.6371,Marginal,0.518539710054959,Marginal
CD006942_pub4_data,0.4522,Inadequate,0.526113059815541,Marginal
CD006982_pub5_data,0.2643,Inadequate,0.33221760973134,Inadequate
CD007024_pub3_data,0.8873,Adequate,0.818733354172856,Adequate
CD007026_pub7_data,0.5774,Marginal,0.488752273668708,Inadequate
CD007079_pub4_data,0.916,Adequate,0.83305,Adequate
CD007110_pub4_data,0.1817,Critical,0.29090781286872,Inadequate
CD007130_pub5_data,0.6135,Marginal,0.506710383079053,Marginal
CD007156_pub3_data,0.6543,Marginal,0.70213570091532,Marginal
CD007310_pub3_data,0.5665,Marginal,0.483193555213471,Inadequate
CD007374_pub3_data,0.3537,Inadequate,0.376821872633461,Inadequate
CD007388_pub3_data,0.6117,Marginal,0.505797866280696,Marginal
CD007491_pub3_data,0.3663,Inadequate,0.4331,Inadequate
CD007569_pub4_data,0.3556,Inadequate,0.477817662817148,Inadequate
CD007572_pub4_data,0.95,Adequate,0.84999999990966,Adequate
CD007639_pub3_data,0.6725,Marginal,0.711247868031116,Marginal
CD007674_pub3_data,0.9453,Adequate,0.847672921189512,Adequate
CD007784_pub3_data,0.95,Adequate,0.85,Adequate
CD007809_pub3_data,0.9482,Adequate,0.8491,Adequate
CD007837_pub3_data,0.2182,Critical,0.309180713501592,Inadequate
CD007859_pub5_data,0.2172,Critical,0.308525791137404,Inadequate
CD007872_pub4_data,0.6051,Marginal,0.602499985300289,Marginal
CD007895_pub3_data,0.1728,Critical,0.286334845862863,Inadequate
CD007896_pub4_data,0.9219,Adequate,0.835938821490509,Adequate
CD008063_pub3_data,0.3589,Inadequate,0.4295,Inadequate
CD008145_pub4_data,0.3655,Inadequate,0.4328,Inadequate
CD008165_pub5_data,0.7939,Adequate,0.772007105669991,Adequate
CD008176_pub3_data,0.927,Adequate,0.838449999999855,Adequate
CD008237_pub4_data,0.6276,Marginal,0.688786518733037,Marginal
CD008309_pub3_data,0.8021,Adequate,0.776048796667532,Adequate
CD008349_pub5_data,0.3726,Inadequate,0.43625,Inadequate
CD008493_pub5_data,0.6225,Marginal,0.511249999973382,Marginal
CD008552_pub8_data,0.4359,Inadequate,0.4679,Inadequate
CD008564_pub3_data,0.6449,Marginal,0.5225,Marginal
CD008628_pub3_data,0.4341,Inadequate,0.417018149958827,Inadequate
CD008688_pub3_data,0.4565,Inadequate,0.52816940884683,Marginal
CD008709_pub4_data,0.9467,Adequate,0.84835,Adequate
CD008771_pub3_data,0.1812,Critical,0.290622313263816,Inadequate
CD008858_pub5_data,0.684,Marginal,0.716984696618441,Marginal
CD008873_pub5_data,0.7982,Adequate,0.774056997532097,Adequate
CD008879_pub3_data,0.8107,Adequate,0.780378131876758,Adequate
CD008940_pub4_data,0.6164,Marginal,0.608199256161304,Marginal
CD008973_pub3_data,0.6824,Marginal,0.716185194749747,Marginal
CD008995_pub3_data,0.2937,Inadequate,0.346876361441696,Inadequate
CD009022_pub4_data,0.3286,Inadequate,0.36431198350643,Inadequate
CD009102_pub2_data,0.5412,Marginal,0.470645454081948,Inadequate
CD009235_pub4_data,0.9495,Adequate,0.849756563841992,Adequate
CD009244_pub3_data,0.207,Critical,0.303533003391488,Inadequate
CD009252_pub2_data,0.7205,Marginal,0.735224361024878,Marginal
CD009298_pub3_data,0.9407,Adequate,0.845349993248073,Adequate
CD009362_pub4_data,0.873,Adequate,0.811504759420993,Adequate
CD009417_pub3_data,0.3411,Inadequate,0.370547922309723,Inadequate
CD009508_pub2_data,0.9113,Adequate,0.830719287384316,Adequate
CD009531_pub3_data,0.5315,Marginal,0.465753689207257,Inadequate
CD009535_pub3_data,0.6275,Marginal,0.613749999991821,Marginal
CD009609_pub3_data,0.6813,Marginal,0.71573581818051,Marginal
CD009679_pub3_data,0.3849,Inadequate,0.392438589031643,Inadequate
CD009730_pub3_data,0.3498,Inadequate,0.374871083179391,Inadequate
CD009749_pub3_data,0.8986,Adequate,0.82433240863416,Adequate
CD009752_pub3_data,0.401,Inadequate,0.400550585708292,Inadequate
CD009788_pub3_data,0.2261,Critical,0.31305458511459,Inadequate
CD009945_pub3_data,0.3518,Inadequate,0.375934835768991,Inadequate
CD010001_pub4_data,0.9462,Adequate,0.848117015825658,Adequate
CD010136_pub4_data,0.1892,Critical,0.294631863654663,Inadequate
CD010145_pub2_data,0.6179,Marginal,0.508999624283252,Marginal
CD010163_pub3_data,0.1749,Critical,0.28749024399628,Inadequate
CD010189_pub3_data,0.3599,Inadequate,0.42995,Inadequate
CD010216_pub9_data,0.9495,Adequate,0.84981043777239,Adequate
CD010290_pub4_data,0.9468,Adequate,0.848350026554503,Adequate
CD010333_pub4_data,0.2882,Inadequate,0.344091814449808,Inadequate
CD010441_pub3_data,0.8297,Adequate,0.789883779680865,Adequate
CD010533_pub3_data,0.8302,Adequate,0.790145854381816,Adequate
CD010583_pub6_data,0.4722,Inadequate,0.436076076257628,Inadequate
CD010779_pub2_data,0.3587,Inadequate,0.42935,Inadequate
CD010856_pub3_data,0.396,Inadequate,0.44795,Inadequate
CD010861_pub3_data,0.5455,Marginal,0.572722225291587,Marginal
CD010966_pub4_data,0.9495,Adequate,0.8497,Adequate
CD011039_pub2_data,0.3383,Inadequate,0.369167742684853,Inadequate
CD011044_pub3_data,0.9497,Adequate,0.849826321849346,Adequate
CD011060_pub2_data,0.1907,Critical,0.29529803457681,Inadequate
CD011120_pub3_data,0.634,Marginal,0.69196874698941,Marginal
CD011192_pub4_data,0.6337,Marginal,0.516865007277354,Marginal
CD011197_pub3_data,0.8201,Adequate,0.785048801056769,Adequate
CD011204_pub3_data,0.95,Adequate,0.849999999893133,Adequate
CD011218_pub2_data,0.6196,Marginal,0.684769572421929,Marginal
CD011305_pub3_data,0.7658,Adequate,0.757903677026785,Adequate
CD011330_pub2_data,0.2216,Critical,0.310784845862862,Inadequate
CD011381_pub3_data,0.8631,Adequate,0.806498914471226,Adequate
CD011468_pub2_data,0.4695,Inadequate,0.434701451617086,Inadequate
CD011535_pub7_data,0.95,Adequate,0.849999623910915,Adequate
CD011575_pub3_data,0.9487,Adequate,0.849355126462638,Adequate
CD011600_pub3_data,0.6032,Marginal,0.601599994814699,Marginal
CD011624_pub3_data,0.8853,Adequate,0.817568186386808,Adequate
CD011626_pub3_data,0.2658,Inadequate,0.332869799550901,Inadequate
CD011627_pub3_data,0.3176,Inadequate,0.358823586673771,Inadequate
