dataset,IAI,IAI_class,IAI_empirical,IAI_empirical_class
CD015158_pub2_data,0.1871,Critical,0.293646175870754,Inadequate
CD015160_pub2_data,0.319,Inadequate,0.359434345483901,Inadequate
CD015192_pub2_data,0.4273,Inadequate,0.413679014035233,Inadequate
CD015213_pub2_data,0.9192,Adequate,0.834630904301794,Adequate
CD015215_pub2_data,0.5427,Marginal,0.571401923780244,Marginal
CD015219_pub2_data,0.928,Adequate,0.838980735270074,Adequate
CD015229_pub2_data,0.6768,Marginal,0.713382381027563,Marginal
CD015252_pub2_data,0.9452,Adequate,0.847682829545104,Adequate
CD015254_pub2_data,0.9493,Adequate,0.849661549124524,Adequate
CD015255_pub2_data,0.9498,Adequate,0.849908016186563,Adequate
CD015284_pub2_data,0.8281,Adequate,0.789143310321452,Adequate
CD015313_pub2_data,0.3575,Inadequate,0.42875,Inadequate
CD015314_pub2_data,0.9316,Adequate,0.840817342519859,Adequate
CD015326_pub2_data,0.3686,Inadequate,0.4343,Inadequate
CD015331_pub2_data,0.5811,Marginal,0.490487337744222,Inadequate
CD015332_pub2_data,0.3697,Inadequate,0.384780308369861,Inadequate
CD015350_pub2_data,0.5552,Marginal,0.477582505639702,Inadequate
CD015373_pub2_data,0.6934,Marginal,0.721757608432995,Marginal
CD015383_pub2_data,0.3577,Inadequate,0.4289,Inadequate
CD015387_pub2_data,0.5724,Marginal,0.486180625151292,Inadequate
CD015395_pub3_data,0.4603,Inadequate,0.430165240807184,Inadequate
CD015432_pub2_data,0.8706,Adequate,0.810206322231883,Adequate
CD015443_pub2_data,0.585,Marginal,0.492577765705866,Inadequate
CD015448_pub2_data,0.3585,Inadequate,0.4292,Inadequate
CD015462_pub2_data,0.3179,Inadequate,0.459026964395427,Inadequate
CD015476_pub2_data,0.95,Adequate,0.85,Adequate
CD015495_data,0.4586,Inadequate,0.429281551369734,Inadequate
CD015514_pub2_data,0.2183,Critical,0.309182948695698,Inadequate
CD015517_data,0.1858,Critical,0.292893722703636,Inadequate
CD015518_data,0.3673,Inadequate,0.4337,Inadequate
CD015519_pub2_data,0.1694,Critical,0.284666864851418,Inadequate
CD015520_data,0.3906,Inadequate,0.44525,Inadequate
CD015524_pub2_data,0.6138,Marginal,0.606849999716395,Marginal
CD015526_pub2_data,0.3203,Inadequate,0.360147500054441,Inadequate
CD015530_pub2_data,0.2477,Critical,0.323781838334865,Inadequate
CD015532_data,0.5813,Marginal,0.490699149500629,Inadequate
CD015536_pub2_data,0.9499,Adequate,0.849984263325258,Adequate
CD015551_pub2_data,0.2156,Critical,0.307865939134349,Inadequate
CD015573_data,0.1993,Critical,0.299574579401819,Inadequate
CD015584_pub2_data,0.9411,Adequate,0.845600901566833,Adequate
CD015588_pub2_data,0.9444,Adequate,0.84715,Adequate
CD015592_pub3_data,0.2174,Critical,0.308669962266945,Inadequate
CD015594_pub2_data,0.2085,Critical,0.304235660005216,Inadequate
CD015636_pub2_data,0.3597,Inadequate,0.4298,Inadequate
CD015673_pub2_data,0.6288,Marginal,0.614335327143673,Marginal
CD015698_pub2_data,0.195,Critical,0.297527774708413,Inadequate
CD015701_pub2_data,0.6511,Marginal,0.700553402858526,Marginal
CD015711_pub2_data,0.3693,Inadequate,0.48465712127735,Inadequate
CD015721_pub2_data,0.9139,Adequate,0.831999999914238,Adequate
CD015746_pub2_data,0.8193,Adequate,0.784624109566852,Adequate
CD015749_pub2_data,0.1798,Critical,0.289834806040559,Inadequate
CD015751_pub2_data,0.1771,Critical,0.288520773760994,Inadequate
CD015779_data,0.3165,Inadequate,0.358193053016707,Inadequate
CD015786_pub2_data,0.6622,Marginal,0.706099305797764,Marginal
CD015788_pub2_data,0.4283,Inadequate,0.414088834150595,Inadequate
CD015790_pub2_data,0.1868,Critical,0.293371556113012,Inadequate
CD015802_pub2_data,0.3757,Inadequate,0.387915330136927,Inadequate
CD015804_pub2_data,0.6282,Marginal,0.514099947865461,Marginal
CD015820_pub2_data,0.1749,Critical,0.287514544696016,Inadequate
CD015824_pub2_data,0.933,Adequate,0.841462187849458,Adequate
CD015830_pub2_data,0.2073,Critical,0.303628616210786,Inadequate
CD015849_pub2_data,0.9493,Adequate,0.849699999999996,Adequate
CD015854_data,0.3583,Inadequate,0.479132063066123,Inadequate
CD015855_data,0.4445,Inadequate,0.422244153467115,Inadequate
CD015875_data,0.2268,Critical,0.313470783571697,Inadequate
CD015877_data,0.2482,Critical,0.324078320676211,Inadequate
CD015894_pub2_data,0.1697,Critical,0.284816864851418,Inadequate
CD015932_pub2_data,0.9423,Adequate,0.846207484868525,Adequate
CD015968_data,0.6324,Marginal,0.51619986706939,Marginal
CD016001_data,0.1749,Critical,0.287480786974041,Inadequate
CD016002_data,0.186,Critical,0.293071556113012,Inadequate
CD016031_data,0.8086,Adequate,0.779237433689426,Adequate
CD016058_pub2_data,0.8531,Adequate,0.801580526936657,Adequate
CD016064_data,0.1902,Critical,0.295115538527917,Inadequate
CD016119_data,0.9378,Adequate,0.843940945833272,Adequate
CD016120_data,0.351,Inadequate,0.375376014777278,Inadequate
CD016131_data,0.8648,Adequate,0.807450641107069,Adequate
CD016136_data,0.3855,Inadequate,0.4427,Inadequate
CD016147_data,0.3451,Inadequate,0.372584506414582,Inadequate
CD016148_data,0.6126,Marginal,0.5063,Marginal
CD016168_data,0.551,Marginal,0.575467051304302,Marginal
CD016211_data,0.8421,Adequate,0.796070670596199,Adequate
CD016278_data,0.5972,Marginal,0.498649993927151,Inadequate
