scenario,iter,method,est,se,ci_lb,ci_ub,true
S1_Standard_k10,47,SIT_v2,0.3318,0.0889,0.1269,0.5367,0.3
S1_Standard_k10,47,ARP_v2,0.2931,0.0841,0.0991,0.4871,0.3
S1_Standard_k10,48,REML,0.408016753307392,0.0704752533871782,0.269887794867189,0.546145711747596,0.3
S1_Standard_k10,48,HKSJ,0.408016753307392,0.0703041817271469,0.24897764503866,0.567055861576124,0.3
S1_Standard_k10,48,MWM_v2,0.4124,0.0709,0.2488,0.5759,0.3
S1_Standard_k10,48,SIT_v2,0.4296,0.077,0.252,0.6071,0.3
S1_Standard_k10,48,ARP_v2,0.408,0.0704,0.2457,0.5704,0.3
S1_Standard_k10,49,REML,0.301538331387709,0.091325533542011,0.122543574776463,0.480533087998955,0.3
S1_Standard_k10,49,HKSJ,0.301538331387709,0.0905625084856924,0.0966717041358264,0.506404958639591,0.3
S1_Standard_k10,49,MWM_v2,0.3024,0.0916,0.0911,0.5137,0.3
S1_Standard_k10,49,SIT_v2,0.3593,0.0953,0.1395,0.5792,0.3
S1_Standard_k10,49,ARP_v2,0.3016,0.0915,0.0905,0.5127,0.3
S1_Standard_k10,50,REML,0.303331603810516,0.0755051028120449,0.155344321649914,0.451318885971118,0.3
S1_Standard_k10,50,HKSJ,0.303331603810516,0.0750912337205857,0.133463431586139,0.473199776034893,0.3
S1_Standard_k10,50,MWM_v2,0.3045,0.0759,0.1294,0.4795,0.3
S1_Standard_k10,50,SIT_v2,0.3498,0.0799,0.1656,0.534,0.3
S1_Standard_k10,50,ARP_v2,0.3034,0.075,0.1304,0.4764,0.3
S1_Standard_k10,51,REML,0.333001019386994,0.0965651050299238,0.143736891365015,0.522265147408972,0.3
S1_Standard_k10,51,HKSJ,0.333001019386994,0.0976031033321605,0.112207460072813,0.553794578701174,0.3
S1_Standard_k10,51,MWM_v2,0.3297,0.097,0.1061,0.5533,0.3
S1_Standard_k10,51,SIT_v2,0.3315,0.098,0.1055,0.5575,0.3
S1_Standard_k10,51,ARP_v2,0.333,0.0965,0.1106,0.5555,0.3
S1_Standard_k10,52,REML,0.35830726167225,0.0588031517912198,0.243055201984018,0.473559321360483,0.3
S1_Standard_k10,52,HKSJ,0.35830726167225,0.0559533593055819,0.231731969136507,0.484882554207994,0.3
S1_Standard_k10,52,MWM_v2,0.3537,0.0596,0.2162,0.4912,0.3
S1_Standard_k10,52,SIT_v2,0.3218,0.0635,0.1755,0.4682,0.3
S1_Standard_k10,52,ARP_v2,0.3586,0.0568,0.2277,0.4895,0.3
S1_Standard_k10,53,REML,0.325113497942437,0.118420117362373,0.0930143328671798,0.557212663017694,0.3
S1_Standard_k10,53,HKSJ,0.325113497942437,0.117278687707365,0.0598106745016463,0.590416321383227,0.3
S1_Standard_k10,53,MWM_v2,0.3103,0.1187,0.0365,0.5841,0.3
S1_Standard_k10,53,SIT_v2,0.2257,0.1241,-0.0605,0.512,0.3
S1_Standard_k10,53,ARP_v2,0.3249,0.1188,0.051,0.5988,0.3
S1_Standard_k10,54,REML,0.346442197161185,0.0924595686436397,0.165224772593542,0.527659621728827,0.3
S1_Standard_k10,54,HKSJ,0.346442197161185,0.0908745883380991,0.140869596235815,0.552014798086554,0.3
S1_Standard_k10,54,MWM_v2,0.3315,0.0931,0.117,0.5461,0.3
S1_Standard_k10,54,SIT_v2,0.2683,0.0968,0.045,0.4916,0.3
S1_Standard_k10,54,ARP_v2,0.3465,0.0918,0.1348,0.5581,0.3
S1_Standard_k10,55,REML,0.231996676008725,0.0695006957170244,0.0957778155028797,0.36821553651457,0.3
S1_Standard_k10,55,HKSJ,0.231996676008725,0.0693988295032508,0.0750056167581345,0.388987735259315,0.3
