"ma_id","review_id","analysis_id","effect_type","k","theta","se_std","se_hksj","se_ratio","ci_std_lo","ci_std_hi","ci_hksj_lo","ci_hksj_hi","ci_width_ratio","p_std","p_hksj","sig_std","sig_hksj","conclusion_changed","tau2","I2","R","R_cat","k_cat"
"CD015824_pub2_5","CD015824_pub2",5,"GIV",13,0,3.31739272832082,0,0,-6.50197027008388,6.50197027008388,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","11-20"
"CD015824_pub2_6","CD015824_pub2",6,"GIV",12,0,0.153870478815357,0,0,-0.301580596762033,0.301580596762033,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","11-20"
"CD015824_pub2_7","CD015824_pub2",7,"GIV",5,0,0.164700648921043,0,0,-0.322807340115619,0.322807340115619,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","4-5"
"CD015824_pub2_8","CD015824_pub2",8,"GIV",8,0,0.0577361595966241,0,0,-0.11316079341504,0.11316079341504,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","6-10"
"CD015824_pub2_9","CD015824_pub2",9,"GIV",10,0,0.068629636779909,0,0,-0.134511616360687,0.134511616360687,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","6-10"
"CD015830_pub2_1","CD015830_pub2",1,"MD",4,-0.962398836650009,0.290556895718402,0.315076245134036,1.08438742902663,-1.53187988771784,-0.39291778558218,-1.96511206885949,0.0403143955594691,1.7607490720355,0.000925467991083384,0.0552319597173434,TRUE,FALSE,TRUE,0.0153997662870746,4.01815736306659,0.745913604557598,"High","4-5"
"CD015830_pub2_2","CD015830_pub2",2,"logRR",2,-0.660599592403452,1.10265954576176,0.287882776375362,0.261080382863309,-2.82177258930579,1.50057340449889,-4.3184970890472,2.9972979042403,1.69255191596726,0.549108464249409,0.261634405960162,FALSE,FALSE,FALSE,0,0,0.999999999999867,"Excellent","2-3"
"CD015830_pub2_3","CD015830_pub2",3,"MD",3,-2.22956794626002,0.738712258647444,0.207389106297829,0.280744097407495,-3.67741736814724,-0.781718524372789,-3.12189125059267,-1.33724464192736,0.616309466194032,0.00254296241339057,0.00854158012799037,TRUE,TRUE,FALSE,0,0,0.904992150600792,"Excellent","2-3"
"CD015830_pub2_4","CD015830_pub2",4,"MD",2,-6.36911872327878,12.8513369518772,12.8513369518772,1,-31.5572763021468,18.8190388555893,-169.660837167398,156.92259972084,6.48287664283611,0.620176865315139,0.707077761843673,FALSE,FALSE,FALSE,182.215881904762,34.9310128353117,0.806461457737447,"High","2-3"
"CD015849_pub2_20","CD015849_pub2",20,"GIV",3,-0.271480174089867,0.13816158387763,0.0713648683523776,0.51653192117127,-0.542271902537031,-0.000688445642703484,-0.578538419714436,0.035578071534701,1.13392771406044,0.0494203852407602,0.0626758217257148,TRUE,FALSE,TRUE,0,0,0.499369815080548,"Low","2-3"
"CD015849_pub2_34","CD015849_pub2",34,"GIV",4,-0.850806627110726,0.296800007651399,0.326344196822054,1.09954241377701,-1.43252395271868,-0.269089301502771,-1.88937951053785,0.187766256316399,1.785356628912,0.00414908268622657,0.0798856905795949,TRUE,FALSE,TRUE,0.16253493758622,47.7355277256169,0.693863302360865,"Moderate","4-5"
"CD015849_pub2_38","CD015849_pub2",38,"GIV",2,0,0.723612787263515,0,0,-1.41825500178913,1.41825500178913,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","2-3"
"CD015849_pub2_40","CD015849_pub2",40,"GIV",2,0.485150152484285,0.981075029558239,0.981075029558238,1,-1.43772157158143,2.40802187655,-11.9805900346313,12.9508903395999,6.48287664283611,0.620946952847872,0.707635591407225,FALSE,FALSE,FALSE,1.7784246156465,91.9501760341607,0.356958674600647,"Low","2-3"
"CD015849_pub2_44","CD015849_pub2",44,"GIV",2,-0.186359613661232,0.149276203629506,0.106887956428518,0.716041497771524,-0.47893559652393,0.106216369201467,-1.54449987187331,1.17178064455084,4.64200870120439,0.211876760073178,0.331519451313981,FALSE,FALSE,FALSE,0,0,0.999999999917617,"Excellent","2-3"
"CD015849_pub2_47","CD015849_pub2",47,"GIV",2,0,0.0879457001691447,0,0,-0.172370404926682,0.172370404926682,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","2-3"
"CD015849_pub2_48","CD015849_pub2",48,"GIV",6,-0.647493078435631,0.0738311456914348,0.0877601937789072,1.18866086875702,-0.792199464928173,-0.502786691943089,-0.873087838455613,-0.421898318415649,1.55898274767306,1.78796773884469e-18,0.000718986472246121,TRUE,TRUE,FALSE,0.013512589541635,43.853266167531,0.686243961419179,"Moderate","6-10"
"CD015854_10","CD015854",10,"GIV",2,0,0.438419052108307,0,0,-0.85928555226847,0.85928555226847,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","2-3"
"CD015854_11","CD015854",11,"GIV",2,0,1.09514304824187,0,0,-2.14644093247347,2.14644093247347,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","2-3"
"CD015875_16","CD015875",16,"MD",7,4.19602325101574,4.78887277629334,4.79710864904777,1.00171979360053,-5.18999491706355,13.582041419095,-7.54207875356929,15.9341252556008,1.25059442613321,0.38091984960993,0.415374174624608,FALSE,FALSE,FALSE,155.617340723742,99.7480743921516,0.342254498847096,"Low","6-10"
