"dataset","file","n_rows","n_studies","n_comparisons","n_outcomes","n_subgroups","has_outcome_col","has_comparison_col","has_subgroup_col","has_review_doi_col","has_review_url_col","outcome_type","study_year_min","study_year_max","ctrl_risk_mean","ctrl_risk_median","ctrl_mean_mean","missing_study_year","missing_outcome","missing_comparison","missing_review_doi"
"CD013056_pub3_data","CD013056_pub3_data.rda",21,10,NA,NA,3,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2005,2021,0.521241250050516,0.62,0.125238095238095,0,NA,NA,0
"CD013057_pub3_data","CD013057_pub3_data.rda",3,2,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1996,1996,0.356392694063927,0.219178082191781,0,0,NA,NA,0
"CD013059_pub2_data","CD013059_pub2_data.rda",363,18,NA,NA,22,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1976,2020,0.000502088332000355,0,19.0487327823691,0,NA,NA,0
"CD013071_pub2_data","CD013071_pub2_data.rda",201,28,NA,NA,9,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1979,2020,0.0131946288777167,0,7.69014925373134,0,NA,NA,0
"CD013078_pub2_data","CD013078_pub2_data.rda",24,6,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1989,2022,0.0354166666666667,0,50.0166666666667,0,NA,NA,0
"CD013105_pub2_data","CD013105_pub2_data.rda",86,29,NA,NA,34,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2010,2023,0.124198725834946,0,27.0776744186047,0,NA,NA,0
"CD013111_pub2_data","CD013111_pub2_data.rda",21,5,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2014,2023,0.233380715315977,0.238095238095238,0,0,NA,NA,0
"CD013158_pub2_data","CD013158_pub2_data.rda",13,3,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2000,2020,0.227010971691823,0.142857142857143,0,0,NA,NA,0
"CD013166_pub3_data","CD013166_pub3_data.rda",124,21,NA,NA,3,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2012,2023,0.0182101644828671,0,3.36056451612903,0,NA,NA,0
"CD013197_pub2_data","CD013197_pub2_data.rda",375,40,NA,NA,11,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2014,2022,0.0719956477805552,0.0434782608695652,20.604880952381,0,NA,NA,0
"CD013232_pub2_data","CD013232_pub2_data.rda",1540,128,NA,NA,313,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1987,2022,0.103445018007875,0.0566037735849057,1.14866233766234,0.0701298701298701,NA,NA,0
"CD013255_pub2_data","CD013255_pub2_data.rda",141,45,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1990,2022,0.278179076030858,0.14,0,0,NA,NA,0
"CD013278_pub3_data","CD013278_pub3_data.rda",223,18,NA,NA,6,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1981,2024,0.133783759021292,0.0769230769230769,4.26143497757848,0,NA,NA,0
"CD013284_pub2_data","CD013284_pub2_data.rda",111,8,NA,NA,9,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2012,2022,0.0143365836397851,0,0,0,NA,NA,0
"CD013294_pub2_data","CD013294_pub2_data.rda",77,13,NA,NA,3,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2001,2022,0.00956937799043062,0,32.8498831168831,0,NA,NA,0
"CD013295_pub2_data","CD013295_pub2_data.rda",916,99,NA,NA,171,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1992,2023,0.054352350358443,0,0.695180131004367,0.0982532751091703,NA,NA,0
"CD013303_pub2_data","CD013303_pub2_data.rda",132,29,NA,NA,5,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2005,2020,0.0564013059201051,0,135.848787878788,0,NA,NA,0
"CD013329_pub2_data","CD013329_pub2_data.rda",11,2,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2015,2017,0,0,2072.63818181818,0,NA,NA,0
"CD013331_pub2_data","CD013331_pub2_data.rda",40,18,NA,NA,5,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1987,2019,0.0920907738095238,0,2.30695,0,NA,NA,0
"CD013332_pub2_data","CD013332_pub2_data.rda",67,31,NA,NA,10,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1996,2018,0.0626940088859759,0.0428571428571429,0.886567164179104,0.0746268656716418,NA,NA,0
"CD013342_pub2_data","CD013342_pub2_data.rda",224,24,NA,NA,17,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2015,2023,0.0482995113725135,0,9.68734821428571,0.03125,NA,NA,0
"CD013344_pub2_data","CD013344_pub2_data.rda",97,11,NA,NA,16,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2005,2019,0.137694521070089,0.0769230769230769,5.19879381443299,0,NA,NA,0
"CD013353_pub2_data","CD013353_pub2_data.rda",29,7,NA,NA,8,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2004,2022,0,0,64.5237931034483,0,NA,NA,0
"CD013355_pub2_data","CD013355_pub2_data.rda",21,4,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1999,2013,0.116169526409054,0.0926430517711172,1.81285714285714,0,NA,NA,0
"CD013358_pub2_data","CD013358_pub2_data.rda",335,58,NA,NA,3,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1980,2021,0.00455230316106348,0,-0.595722388059701,0.0238805970149254,NA,NA,0
"CD013366_pub2_data","CD013366_pub2_data.rda",140,12,NA,NA,5,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1997,2020,0.0971000588917666,0.0360824742268041,1.135,0,NA,NA,0
"CD013377_pub2_data","CD013377_pub2_data.rda",28,10,NA,NA,3,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2004,2023,0.0985403475333168,0.0112359550561798,1.45,0,NA,NA,0
"CD013396_pub2_data","CD013396_pub2_data.rda",129,18,NA,NA,14,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2012,2022,0.204565677989886,0.0871559633027523,0.262713178294574,0,NA,NA,0
"CD013408_pub2_data","CD013408_pub2_data.rda",54,6,NA,NA,6,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2012,2022,0.157455438831069,0.0565253092068186,0,0,NA,NA,0
"CD013414_pub2_data","CD013414_pub2_data.rda",70,10,NA,NA,19,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1991,2022,0.0692130183951295,0.0103092783505155,3.11977868571429,0,NA,NA,0
"CD013421_pub2_data","CD013421_pub2_data.rda",102,21,NA,NA,4,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1995,2019,0.205528043008512,0.0217391304347826,86.4804684117647,0,NA,NA,0
"CD013425_pub2_data","CD013425_pub2_data.rda",285,57,NA,NA,11,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1996,2022,0.200079455212147,0.0967741935483871,9.20726315789474,0,NA,NA,0
"CD013429_pub2_data","CD013429_pub2_data.rda",107,9,NA,NA,9,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2016,2023,0.0416817319424304,0,10.5748598130841,0,NA,NA,0
"CD013445_pub2_data","CD013445_pub2_data.rda",553,42,NA,NA,11,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2010,2022,0.309238649979245,0.0857142857142857,4.06120976491863,0,NA,NA,0
"CD013456_pub2_data","CD013456_pub2_data.rda",177,31,NA,NA,4,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1991,2021,0.026529748933451,0,25.6802824858757,0,NA,NA,0
"CD013462_pub3_data","CD013462_pub3_data.rda",122,14,NA,NA,9,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1996,2023,0.0981972392770992,0.05,19.256,0,NA,NA,0
"CD013468_pub2_data","CD013468_pub2_data.rda",41,24,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2000,2020,0.0695102634127024,0,4.60609756097561,0,NA,NA,0
